brand,store_id,city,state,latitude,longitude
Home Depot,5918342d-14f1-4844-b8e0-7cd61029799a,Tacoma,WA,47.2330436706543,-122.4988021850586
Home Depot,847418b5-fbeb-4265-a2aa-ab72d3200c52,Tacoma,WA,47.12120056152344,-122.43115997314453
Home Depot,ac170089-1eb0-40e4-af39-d8d1811d75ec,Tukwila,WA,47.443058013916016,-122.2481918334961
Home Depot,c741a4b5-8ec1-426d-b99b-4b50ceaf1633,Tumwater,WA,46.991493225097656,-122.91998291015625
Home Depot,86aab697-f09b-4484-9bef-0372ff6259f5,Vancouver,WA,45.6838264465332,-122.5993423461914
Home Depot,8986f20b-ba0d-465f-a569-10356754a847,Vancouver,WA,45.62022399902344,-122.47981262207031
Home Depot,2c727620-f944-4d4e-9f49-5df8a6e6b098,Wenatchee,WA,47.45153045654297,-120.33566284179688
Home Depot,d79cbd85-781b-49fe-8042-41f6c086ac7f,Wenatchee,WA,47.451446533203125,-120.3357162475586
Home Depot,3bc05482-6865-4d98-80ac-309634496ed7,Yakima,WA,46.5720329284668,-120.48594665527344
Home Depot,e4f7e26a-be92-4a63-9444-e63d3fe9106b,Yakima,WA,46.572078704833984,-120.48579406738281
Lowe's,87985523-9cd3-4220-be70-87d9f7d059c3,Arlington,WA,48.1496467590332,-122.18656158447266
Lowe's,f9b31d02-e221-4a74-926a-2cba46f2b1a0,Auburn,WA,47.31885528564453,-122.22747802734375
Lowe's,21a0a44c-f44d-43c0-99d9-b9b2c2b95416,Bellingham,WA,48.7703857421875,-122.46100616455078
Lowe's,cdef6556-f71b-4042-bdce-abdb9ff58faa,Bellingham,WA,48.770225524902344,-122.46139526367188
Lowe's,efdcf3bc-3f16-4be4-8fd4-c1058b9ded54,Bonney Lake,WA,47.166717529296875,-122.16414642333984
Lowe's,11c5cf29-f7e0-4f99-8536-058a09194627,Everett,WA,47.977603912353516,-122.19671630859375
Lowe's,390b52da-fabc-4179-a19b-c1017671d37a,Issaquah,WA,47.54936599731445,-122.05615234375
Lowe's,462fd3fc-303f-4ef8-ae2a-297b319f37c8,Kennewick,WA,46.215599060058594,-119.22211456298828
Lowe's,fb354fcd-db08-43ef-a2ca-ec4d3004ea75,Kennewick,WA,46.2200927734375,-119.22151947021484
Lowe's,b4808e3a-6545-4a5c-8dc1-758e9e094d5e,Kent,WA,47.38565444946289,-122.29468536376953
Lowe's,abc6e05b-69ac-4222-a9a6-9a860dab64f8,Lakewood,WA,47.16752624511719,-122.50505828857422
Lowe's,556e0456-81d1-443a-b834-ecd9f02f1dd2,Longview,WA,46.148231506347656,-122.9586410522461
Lowe's,dc45109d-718e-4609-b0bf-794030e9f8dd,Loon Lake,WA,48.08396911621094,-117.63285064697266
Lowe's,b42e4314-53ed-4d65-bfad-1ac6d7014b59,Lynnwood,WA,47.819366455078125,-122.27645874023438
Lowe's,d498095c-4ff8-478e-862c-6a98eb1ced60,Mill Creek,WA,47.8769645690918,-122.20525360107422
Lowe's,0a2d8088-b384-4157-8349-4c4a9f41f85f,Monroe,WA,47.8634147644043,-121.97075653076172
Lowe's,f8f55409-45f4-409b-b1a4-8b616f5731e2,Moses Lake,WA,47.10553741455078,-119.25582122802734
Lowe's,78a535e3-4d8a-4ce1-b417-b21821661aa2,Mount Vernon,WA,48.43672180175781,-122.34486389160156
Lowe's,bd553c81-aea1-4768-b23f-0a3fe882870e,Pasco,WA,46.26832962036133,-119.18547821044922
Lowe's,b14096a1-fde9-427d-88a4-5e158758da90,Port Orchard,WA,47.49817657470703,-122.64524841308594
Lowe's,2545c148-c7cb-4db3-b0f3-4aea540d7a60,Puyallup,WA,47.15702819824219,-122.28606414794922
Lowe's,918dd0e7-8bdb-4d78-a509-f1a28aa73902,Renton,WA,47.50010681152344,-122.19903564453125
Lowe's,b6a7e46d-b668-4157-b490-b72b04b07465,Seattle,WA,47.720497131347656,-122.34711456298828
Lowe's,cdcc538b-d620-4207-ba12-e6d56c3aca21,Seattle,WA,47.579322814941406,-122.29715728759766
Lowe's,790011a6-f872-4ec6-a479-6580c80251bb,Silverdale,WA,47.65894317626953,-122.68012237548828
Lowe's,0bfb4c5a-18f6-4e4b-b233-c9226280edd2,Spokane,WA,47.717529296875,-117.40966796875
Lowe's,5335da3e-fe1c-4267-b6e7-eea81289ba21,Spokane Valley,WA,47.66476821899414,-117.1927719116211
Lowe's,a60f1168-4034-48cb-a284-d7aa50bb1865,Spokane Valley,WA,47.665802001953125,-117.18680572509766
Lowe's,3a101afd-86ab-4045-b879-98b2954b0184,Spokane Valley,WA,47.65605545043945,-117.33483123779297
Lowe's,0ef746bc-7c9a-40b5-86ff-d269fb86c2ea,Tacoma,WA,47.23640060424805,-122.50326538085938
Lowe's,c9b6b7c0-cd7d-4351-b433-b63194646dce,Tukwila,WA,47.46052169799805,-122.25094604492188
Lowe's,abd72a0b-b2f2-43e0-8882-3d15a96b3e40,Union Gap,WA,46.56369400024414,-120.47476196289063
Lowe's,33be6f84-065a-42a4-96bf-ceaf92729d22,Vancouver,WA,45.67619323730469,-122.55477142333984
Lowe's,9cc8ec9b-e182-4399-9faa-73a61419dfb3,Vancouver,WA,45.61530685424805,-122.47876739501953
Lowe's,ff7512a6-fe6e-4ed3-9cb4-3349f45141d7,Yakima,WA,46.56459045410156,-120.49459838867188
