brand,store_id,city,state,postal_code,zcta_candidate,latitude,longitude
Advance Auto Parts,42d58f10-48a2-4a8f-b499-bc49e87e2df0,Auburn,WA,98002,98002,47.328285217285156,-122.22103118896484
Advance Auto Parts,00b6ef93-d341-4ac0-bc9c-8dc44bee8aaf,Burien,WA,98168,98168,47.47483444213867,-122.33431243896484
Advance Auto Parts,1bb54277-58e2-4671-b1d3-65836c7a0201,Ellensburg,WA,98926,98926,46.98891830444336,-120.54800415039063
Advance Auto Parts,ab2f33b5-8367-4d68-95e4-6713ef0ee67c,Everett,WA,98201,98201,47.981571197509766,-122.19976806640625
Advance Auto Parts,e2f3b241-099b-4ac9-8084-57497e5a333c,Federal Way,WA,98003,98003,47.30118179321289,-122.31269073486328
Advance Auto Parts,649f3db0-7499-4375-add8-c9eef9fcce21,Kennewick,WA,99336,99336,46.21039962768555,-119.1605224609375
Advance Auto Parts,4f7e27da-edf6-4fb4-8d7e-ad3b720f16df,Kent,WA,98030,98030,47.37301254272461,-122.20026397705078
Advance Auto Parts,6add6cd2-a4d7-4c67-a2b0-955e744342c1,Kent,WA,98032,98032,47.4123420715332,-122.23321533203125
Advance Auto Parts,6a28b73c-b3f8-4ada-a50f-a9aefcde4301,Lake Stevens,WA,98258,98258,48.000492095947266,-122.10861206054688
Advance Auto Parts,02de93aa-2f02-497f-ae91-ab53946e9720,Lakewood,WA,98499,98499,47.16090774536133,-122.48562622070313
Advance Auto Parts,1c29dbdb-25ba-49be-ab68-9181454ac2cc,Longview,WA,98632,98632,46.14533996582031,-122.92608642578125
Advance Auto Parts,f0233363-f342-4ca6-8b1d-6a8263902e37,Lynnwood,WA,98037,98037,47.83207702636719,-122.30485534667969
Advance Auto Parts,e3194a66-1535-43c3-95f0-c144cb1278a4,Olympia,WA,98502,98502,47.04649353027344,-122.92778015136719
Advance Auto Parts,84a49f43-afcf-4f82-87e8-77cc92924ae6,Olympia,WA,98516,98516,47.05156326293945,-122.79324340820313
Advance Auto Parts,85e15090-8c82-444e-878f-9cf445fa9cf0,Parkland,WA,98444,98444,47.123565673828125,-122.43486022949219
Advance Auto Parts,1422ffbe-266d-4a27-9197-8d9bcee0c341,Pasco,WA,99301,99301,46.24200439453125,-119.10688018798828
Advance Auto Parts,d657d3f9-c5c6-4f19-9ffe-40ec1a7e4e00,Puyallup,WA,98373,98373,47.14847946166992,-122.29357147216797
Advance Auto Parts,59522d30-d103-4df2-9b51-a84022656eb0,Seattle,WA,98103,98103,47.696781158447266,-122.35491180419922
Advance Auto Parts,d722ee72-e952-4c6f-8089-cb12ff9ee009,Seattle,WA,98126,98126,47.56258010864258,-122.38033294677734
Advance Auto Parts,34eb5bfe-c4de-4ae3-a581-a6906fb01ef2,Snohomish,WA,98290,98290,47.924583435058594,-122.0973129272461
Advance Auto Parts,6f3309a3-81a2-4ccc-8e2b-d735788b2cff,Spokane Valley,WA,99206,99206,47.65561294555664,-117.24032592773438
Advance Auto Parts,bb4a3f80-b54c-4661-94af-c30bea78e8d5,Spokane Valley,WA,99212,99212,47.6567268371582,-117.34232330322266
Advance Auto Parts,3be04b0d-0d5a-4465-96bc-fc0267eff3fe,Tacoma,WA,98409,98409,47.22334289550781,-122.47314453125
Advance Auto Parts,27a87963-463b-4d68-91a8-16093302b12b,Vancouver,WA,98661,98661,45.640228271484375,-122.59961700439453
Advance Auto Parts,3adb150a-6d4b-461f-baec-150a6fead2ba,Vancouver,WA,98665,98665,45.67461395263672,-122.6622543334961
Advance Auto Parts,dea44b95-6004-4553-8df6-3c376fa90b18,Wapato,WA,98951,98951,46.4476203918457,-120.4289779663086
Advance Auto Parts,e157ace0-e58e-4313-b9aa-bc5087d1158c,Yakima,WA,98901,98901,46.59581756591797,-120.49915313720703
AutoZone,a27f4d99-0f33-4a69-94d3-1dc19867d231,Aberdeen,WA,98520,98520,46.97520065307617,-123.83301544189453
AutoZone,cc22b35a-defd-41fc-9940-b5bdf385d06d,Airway Heights,WA,99001,99001,47.642333984375,-117.58187866210938
AutoZone,63bb2f00-384c-4865-ac5d-430b4e6bfd0e,Arlington,WA,98223,98223,48.18111801147461,-122.12581634521484
AutoZone,5af6306e-eb3f-4507-9261-54d74c7c5e10,Arlington,WA,98223,98223,48.15143585205078,-122.18498229980469
AutoZone,9d98354b-f943-4a22-b108-e2c18e3af846,Auburn,WA,98002,98002,47.317535400390625,-122.22120666503906
AutoZone,f5a34476-cc97-401f-b0d1-a72b694e7b29,Auburn,WA,98002,98002,47.2700309753418,-122.22833251953125
AutoZone,2d709ed9-7646-4f7f-a940-6fd7694ed061,Battle Ground,WA,98604,98604,45.770450592041016,-122.54973602294922
AutoZone,d33bb527-63ad-47a1-8cf6-0a5340580de1,Bellevue,WA,98007,98007,47.60825729370117,-122.14126586914063
AutoZone,02a184c4-e5a0-43eb-9313-dc566e95e662,Bellingham,WA,98225,98225,48.75616455078125,-122.46443176269531
AutoZone,c181c3a6-f4ef-4885-bfbe-bc0a092dd936,Bellingham,WA,98226,98226,48.78879928588867,-122.48616790771484
AutoZone,38cb14a0-99c3-46ed-b395-6128c0b67ad8,Bonney Lake,WA,98391,98391,47.167964935302734,-122.14250946044922
AutoZone,92c6c19c-33f5-4938-aa85-535cc6895562,Bremerton,WA,98311,98311,47.6143684387207,-122.62955474853516
AutoZone,b0e6cfb2-96ad-4976-b81c-a1bebc0ba7ad,Bremerton,WA,98337,98337,47.567779541015625,-122.64535522460938
AutoZone,9b951270-cd1a-4219-8814-bb75f4a17a6e,Burien,WA,98166,98166,47.47078323364258,-122.33570098876953
AutoZone,5aca7e8c-7ab3-4d30-bbe7-c87ee0a8c652,Burlington,WA,98233,98233,48.47494888305664,-122.33496856689453
