brand,store_id,city,state,postal_code,zcta_candidate,county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,metro_context_status,latitude,longitude
Home Depot,7764f7d5-9a80-4bde-af57-ba551a18ab77,Acworth,GA,30101,30101,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.034595,-84.686211
Home Depot,66d24af2-0ac6-4755-8c79-3333d5911df1,Albany,GA,31707,31707,13095,Dougherty County,10500,Albany GA,Metropolitan Statistical Area,cbsa,31.616631,-84.206528
Home Depot,9603c92e-644f-4b5c-af72-e4b2642e59ba,Alpharetta,GA,30004,30004,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.09108,-84.273445
Home Depot,61f3c248-da77-4bdc-a14f-0c63dd458b96,Athens,GA,30606,30606,13059,Clarke County,12020,Athens-Clarke County GA,Metropolitan Statistical Area,cbsa,33.912769,-83.444672
Home Depot,2f0bfeb1-3636-4b9d-b9cf-53ef948b0383,Atlanta,GA,30354,30354,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.648632,-84.367821
Home Depot,5ad4a937-d081-4623-ada9-c9fb7735dcad,Atlanta,GA,30308,30308,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.776817,-84.366409
Home Depot,9cac628d-fffb-4b0c-853e-2c52f16f4be1,Atlanta,GA,30324,30324,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.824291,-84.365227
Home Depot,d5e26341-7e47-44ba-835c-70ea2992ccee,Atlanta,GA,30331,30331,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.72707,-84.504089
Home Depot,d9a35157-1718-4a7f-a7a7-ec85898188e2,Atlanta,GA,30360,30360,13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.921154,-84.279114
Home Depot,e2877a0c-da49-44ef-807e-03b2517b6a0f,Atlanta,GA,30339,30339,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.862236,-84.476288
Home Depot,7d3d6e9f-ce1c-42d2-988b-6f11a09c7580,Augusta,GA,30907,30907,13073,Columbia County,12260,Augusta-Richmond County GA-SC,Metropolitan Statistical Area,cbsa,33.500832,-82.090309
Home Depot,9521a639-d625-4d7e-8295-d748d0a8ea9e,Austell,GA,30106,30106,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.858162,-84.590561
Home Depot,ac2e007f-a184-4fba-b9e6-11a972229b0c,Bainbridge,GA,39819,39819,13087,Decatur County,12460,Bainbridge GA,Micropolitan Statistical Area,cbsa,30.885099,-84.567451
Home Depot,fb31a166-6687-4e56-b7de-e90bbfcbfad5,Bethlehem,GA,30680,30680,13013,Barrow County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.947861,-83.763123
Home Depot,9d30002c-c7a9-46aa-aad0-7b4d1b85a6c9,Blairsville,GA,30512,30512,13291,Union County,,Non-CBSA Georgia county,Non-CBSA,non_cbsa,34.881893,-83.955009
Home Depot,20410d3b-f31b-4f70-a0e7-f2ec902f54a4,Blue Ridge,GA,30513,30513,13111,Fannin County,,Non-CBSA Georgia county,Non-CBSA,non_cbsa,34.875282,-84.324547
Home Depot,b47c18cc-29f1-4269-b785-060598590a40,Brunswick,GA,31520,31520,13127,Glynn County,15260,Brunswick-St. Simons GA,Metropolitan Statistical Area,cbsa,31.211266,-81.492729
Home Depot,d7faed01-01a8-4e35-a2a5-fcb0caaf6047,Buford,GA,30518,30518,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.090824,-84.002151
Home Depot,f69c94c0-9400-4a53-a6c0-efc93a4d996a,Calhoun,GA,30701,30701,13129,Gordon County,15660,Calhoun GA,Micropolitan Statistical Area,cbsa,34.474735,-84.920296
Home Depot,68581cee-1de8-495d-85d8-d620c8b4a295,Canton,GA,30114,30114,13057,Cherokee County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.2542,-84.47377
Home Depot,d40c1ba9-38b6-40ed-98bb-9b5205b5dbb1,Canton,GA,30115,30115,13057,Cherokee County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.148216,-84.512909
Home Depot,a4351741-c364-448f-be09-8ffddd3db70d,Carrollton,GA,30117,30117,13045,Carroll County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.552486,-85.071777
Home Depot,e8749fcb-ef75-4a1e-ae55-28d776e05c81,Cartersville,GA,30120,30120,13015,Bartow County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.18578,-84.787643
Home Depot,c74f9eb2-65ce-48b3-98a3-165dcb796756,Cedartown,GA,30125,30125,13233,Polk County,16340,Cedartown GA,Micropolitan Statistical Area,cbsa,34.044907,-85.232445
Home Depot,ee67b924-4718-4dc5-b43f-be8c19c303af,Clayton,GA,30525,30525,13241,Rabun County,,Non-CBSA Georgia county,Non-CBSA,non_cbsa,34.855988,-83.405853
Home Depot,0a52ca38-63ef-4d6a-bd09-b7372c15204a,Columbus,GA,31909,31909,13215,Muscogee County,17980,Columbus GA-AL,Metropolitan Statistical Area,cbsa,32.524826,-84.949142
Home Depot,24937a8f-1e3c-4737-8e38-0120c0207ba4,Conyers,GA,30013,30013,13247,Rockdale County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.654648,-83.999947
Home Depot,3f4802ae-7996-4da6-82d8-77f4e09ddad6,Cordele,GA,31015,31015,13081,Crisp County,18380,Cordele GA,Micropolitan Statistical Area,cbsa,31.95747,-83.752716
Home Depot,3f09729c-1589-47fa-8575-774987eba1e1,Covington,GA,30014,30014,13217,Newton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.615292,-83.82547
Home Depot,47be310e-5c40-4175-9add-d35c1e545301,Cumming,GA,30041,30041,13117,Forsyth County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.179985,-84.130295
Home Depot,bde9ae59-3b64-4838-9615-5071c98653af,Dacula,GA,30019,30019,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.073254,-83.913818
Home Depot,fdfad406-b8ab-4a19-8a23-14ea485941c6,Dahlonega,GA,30533,30533,13187,Lumpkin County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.472069,-83.967903
Home Depot,8267049d-3192-4043-927b-6c3da2438a42,Dalton,GA,30720,30720,13313,Whitfield County,19140,Dalton GA,Metropolitan Statistical Area,cbsa,34.79018,-84.99913
Home Depot,d0351204-3a77-4b7c-a183-311537acc40d,Dawsonville,GA,30534,30534,13085,Dawson County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.357124,-84.042458
Home Depot,1624281d-ca84-4efc-97b5-62167c34cf64,Decatur,GA,30035,30035,13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.711372,-84.182777
Home Depot,75e08845-7c50-4745-ba3b-b8095438b8c2,Decatur,GA,30033,30033,13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.813019,-84.269096
Home Depot,f148395f-7523-4d30-b169-edce95f1c2a7,Decatur,GA,30035,30035,13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.713654,-84.212784
