"target_id","endpoint","fetch_status","row_count","retry_status","error"
"kingston-wa","https://overpass-api.de/api/interpreter","fetched","1","not_needed",""
"bainbridge-island-wa","https://overpass-api.de/api/interpreter","fetched","0","not_needed",""
"bremerton-wa","overpass-api.de then overpass.kumi.systems","fetched_after_retry","10","succeeded","initial 429 Too Many Requests"
"poulsbo-wa","overpass-api.de then overpass.kumi.systems","source_gated_error","0","failed","initial 429 Too Many Requests; retry 504 Gateway Timeout"
"silverdale-wa","overpass-api.de then overpass.kumi.systems","source_gated_error","0","failed","initial 429 Too Many Requests; retry 504 Gateway Timeout"
"port-orchard-wa","overpass-api.de then overpass.kumi.systems","fetched_after_retry","3","succeeded","initial 429 Too Many Requests"
"arlington-grand-prairie-tx","overpass-api.de then overpass.kumi.systems","fetched_after_retry","5","succeeded","initial 504 Gateway Timeout"
"north-point-alpharetta-ga","https://overpass-api.de/api/interpreter","fetched","2","not_needed",""
