target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,library,osm:way:32613702,Bellevue Library,King County Library System,1111 110th Avenue Northeast,Bellevue,WA,98004,47.6200156,-122.1942663,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,library,osm:way:1278393866,Kitsap Regional Library - Silverdale,Kitsap Regional Library,3650 Northwest Anderson Hill Road 101,Silverdale,WA,98383,47.6513491,-122.6984015,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,library,osm:way:502330118,Southcenter Library Connection,King County Library System,1386,Tukwila,WA,98188,47.4592184,-122.2558489,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
