target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:24547844,Bellevue Downtown Park,City of Bellevue,,Bellevue,WA,,47.6125366,-122.204302,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:100907621,Georgia Zumdieck Park,City of Bellevue,,Bellevue,WA,,47.6241754,-122.1949046,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:295393179,Goddard Park,City of Bellevue,,Bellevue,WA,,47.6165385,-122.2074666,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:1062483631,Isan Park,City of Bellevue,,Bellevue,WA,,47.6096663,-122.1919726,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:57883263,Meydenbauer Bay Park,City of Bellevue,419 98th Avenue Northeast,Bellevue,WA,,47.6122098,-122.2107177,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:70485741,Surrey Downs Park,City of Bellevue,11177 Southeast 4th Street,Bellevue,WA,98004,47.6040535,-122.1923778,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:183344074,Wildwood Park,City of Bellevue,201 101st Avenue Southeast,Bellevue,WA,98004,47.6085402,-122.2047659,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,park,osm:way:210706040,Norwood Village Neighborhood Park,City of Bellevue,,Bellevue,WA,,47.5896683,-122.1737939,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,park,osm:way:217511175,Southeast 32nd Street Park,,,Bellevue,WA,,47.5816822,-122.1717811,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,park,osm:way:256522273,Sunset Park,City of Bellevue,,Bellevue,WA,,47.5868121,-122.1558135,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,park,osm:way:392809394,Sunset Ravine Neighborhood Park,City of Bellevue,,Bellevue,WA,,47.5769758,-122.1614405,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,park,osm:way:629258736,Silver Leaf Park,,,Silverdale,WA,,47.6404079,-122.7092242,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,park,osm:way:1367992605,Whispering Firs Stormwater Park,Kitsap County,,Silverdale,WA,,47.6752585,-122.676041,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,park,osm:way:636779195,Bradley Lake Park,Puyallup Recreations Center,,Puyallup,WA,,47.1610964,-122.284914,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,park,osm:way:1299177979,Clark's Creek Park,City of Puyallup,1710 12th Avenue Southwest,Puyallup,WA,98371,47.1780582,-122.3212169,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,park,osm:way:264100846,Heritage Recreation Center,,9010 128th Street East,Puyallup,WA,98373,47.1383966,-122.3074941,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,park,osm:way:25107903,Wildwood Park,Puyallup Recreations Center,,Puyallup,WA,,47.1716493,-122.2775232,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
