target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,transit_center,osm:node:7744630735,Bellevue Downtown,Sound Transit,,Bellevue,WA,,47.6152343,-122.1919325,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,transit_center,osm:way:29234897,Bellevue Transit Center,,,Bellevue,WA,,47.6155007,-122.1949849,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,transit_center,osm:way:1513873244,East Main,Sound Transit,229 112th Avenue Southeast,Bellevue,WA,98004,47.6081018,-122.1911287,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,transit_center,osm:way:1386925601,Silverdale Transit Center,Kitsap Transit,,Silverdale,WA,,47.6553203,-122.6713666,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,transit_center,osm:way:429547725,South Hill Mall Transit Center,Pierce Transit,503 39th Avenue Southwest,Puyallup,WA,98373,47.1552318,-122.29926,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,transit_center,osm:way:261609835,South Hill Park and Ride,,,Puyallup,WA,,47.1611386,-122.3045422,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,transit_center,osm:node:7012640630,Tukwila,Sound Transit,7301 Longacres Way,Tukwila,WA,98188,47.4601812,-122.240402,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
