target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,post_office,osm:node:358785769,Buckhead Post Office,,,Atlanta,GA,,33.8498753,-84.3704345,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,post_office,osm:node:358785180,Lenox Square Post Office,,,Atlanta,GA,,33.8488,-84.3618,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,post_office,osm:node:358785199,Pharr Road Post Office,,,Atlanta,GA,,33.8365,-84.3686,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,post_office,osm:node:4664879365,The UPS Store,The UPS Store,,Atlanta,GA,,33.8336702,-84.384363,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,post_office,osm:node:358785502,Akers Mill Post Office,United States Postal Service,2997 Cobb Parkway South,Atlanta,GA,,33.8811492,-84.4583559,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,post_office,osm:way:1221839202,Mail Boxes Etc.,Mail Boxes Etc.,,Atlanta,GA,,33.8769604,-84.4771017,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,post_office,osm:way:1221839204,Mail Boxes Etc.,Mail Boxes Etc.,,Atlanta,GA,,33.89118,-84.4936938,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,post_office,osm:way:1221839205,Mail Boxes Etc.,Mail Boxes Etc.,,Atlanta,GA,,33.8917135,-84.4948432,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,post_office,osm:node:3383888983,The UPS Store,The UPS Store,4355 Cobb Parkway South,Atlanta,GA,30339,33.8723273,-84.4553955,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,post_office,osm:node:358785511,United States Post Office - Cumberland Mall,United States Postal Service,1101 Cumberland Mall Southeast,Atlanta,GA,30339,33.8794242,-84.4675608,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,post_office,osm:node:1894144491,Windy Hill Post Office,United States Postal Service,3000 Windy Hill Road Southeast T5,Marietta,GA,30067,33.9042208,-84.4665979,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
