target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,post_office,osm:way:30108218,Bellevue Post Office,United States Postal Service,1171 Bellevue Way Northeast,Bellevue,WA,98004,47.6205989,-122.2025428,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,post_office,osm:node:6313239765,FedEx Office,FedEx,,Bellevue,WA,,47.6104176,-122.200676,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,post_office,osm:node:9106438617,The UPS Store,The UPS Store,1100 Bellevue Way Northeast,Bellevue,WA,,47.6204774,-122.199997,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,post_office,osm:node:4941341964,Post Office,,,Bellevue,WA,,47.5777814,-122.1728007,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,post_office,osm:node:3882954898,The UPS Store,The UPS Store,,Bellevue,WA,,47.5757704,-122.1683726,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,post_office,osm:way:173881005,Silverdale Post Office,United States Postal Service,10855 Silverdale Way Northwest,Silverdale,WA,98383,47.66216,-122.6853937,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,post_office,osm:node:3556815194,The UPS Store,The UPS Store,2916 Northwest Bucklin Hill Road,Silverdale,WA,98383,47.6519755,-122.69062,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,post_office,osm:node:6432192788,The UPS Store,The UPS Store,4227 South Meridian C,Puyallup,WA,98373,47.151448,-122.292365,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,post_office,osm:node:4689163190,The UPS Store,The UPS Store,,Tukwila,WA,,47.4595836,-122.2532665,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,post_office,osm:way:295298389,Tukwila Post Office,United States Postal Service,225 Andover Park West,Tukwila,WA,98188,47.4567031,-122.2550483,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,post_office,osm:node:5413106331,The UPS Store,The UPS Store,,Tacoma,WA,,47.2221462,-122.471761,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
