target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gas_convenience,osm:node:364608769,7-Eleven,7-Eleven,100 Bellevue Way Southeast,Bellevue,WA,98004,47.6095292,-122.2011035,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gas_convenience,osm:way:539239800,Chevron,Chevron,10011 Main Street,Bellevue,WA,98004,47.6099612,-122.2063218,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gas_convenience,osm:way:192567184,Gas Convenience,,10011 Main Street,Bellevue,WA,98004,47.6098225,-122.2063892,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gas_convenience,osm:node:3418556394,Tienda La Mexicana,,108 106th Avenue Northeast,Bellevue,WA,,47.6105055,-122.1984806,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,osm:way:374789858,76,76,3727 Factoria Boulevard Southeast,Bellevue,WA,98006,47.576498,-122.1699397,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,osm:way:374789859,76,76,3727 Factoria Boulevard Southeast,Bellevue,WA,98006,47.5765598,-122.1697085,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,osm:way:374789860,Arkay LLC,,3727 Factoria Boulevard Southeast,Bellevue,WA,98006,47.5766341,-122.16993,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,osm:way:374988103,Chevron,Chevron,3724 128th Ave Southeast,Bellevue,WA,98006,47.5768437,-122.1691346,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,osm:way:485805598,Gas Convenience,Mann Petroleum,3204 Richards Road,Bellevue,WA,98005,47.5813837,-122.1677692,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,osm:way:374988104,Hungry Bear Market,,,Bellevue,WA,,47.5768138,-122.1689487,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,osm:way:485805597,Mann Petroleum,Mann Petroleum,3204 Richards Road,Bellevue,WA,98005,47.5816255,-122.167695,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:311364966,7-Eleven,7-Eleven,9671 Silverdale Way,Silverdale,WA,98383,47.6507502,-122.694517,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:1378731251,76,76,,Silverdale,WA,,47.6470054,-122.6984087,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:574673228,76,76,,Silverdale,WA,,47.6541202,-122.7069894,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:1378735363,Arco,Arco,9630 Ridgetop Boulevard Northwest,Silverdale,WA,98383,47.6538372,-122.6764538,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:173821457,Costco Gasoline,Costco,10000 Mickelberry Road Northwest 13b,Silverdale,WA,98383,47.6557985,-122.6793023,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:node:4878760504,Gas Convenience,,,Silverdale,WA,,47.6502428,-122.6950614,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:node:9583991644,Gas Convenience,,,Silverdale,WA,,47.6537558,-122.6760034,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:174700397,Gas Convenience,,,Silverdale,WA,,47.6608937,-122.684664,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:1193428248,Rocket,Rocket,,Silverdale,WA,,47.6472191,-122.6985269,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:574673229,Rocket,,,Silverdale,WA,,47.6543068,-122.7071088,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:136049862,Safeway Fuel Station,Safeway,2890 Northwest Bucklin Hill Road,Silverdale,WA,98383,47.6524602,-122.6904406,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:1364377005,Texaco,Texaco,9721 Silverdale Way Northwest,Silverdale,WA,98383,47.6502271,-122.6948031,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,osm:way:1193428265,ampm,ampm,,Silverdale,WA,,47.6537763,-122.675973,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:node:4287026994,7-Eleven,7-Eleven,,Puyallup,WA,,47.16262,-122.2926599,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:51677226,7-Eleven,7-Eleven,3001 South Meridian,Puyallup,WA,98373-1464,47.1629047,-122.2925175,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:51677369,7-Eleven,7-Eleven,12701 Meridian East,Puyallup,WA,98373-3411,47.1405546,-122.2924298,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:1225746114,Arco,Arco,4302 South Meridian,Puyallup,WA,98373,47.1508722,-122.2934457,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:1369413382,Chevron,Chevron,,Puyallup,WA,,47.1489165,-122.2932541,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:260226368,Chevron,Chevron,804 South Hill Park Drive,Puyallup,WA,98373-1407,47.1603596,-122.3037086,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:1312158953,Costco Gasoline,Costco,,Puyallup,WA,,47.1572813,-122.3084443,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:571470214,Handy Corner,,8009 112th Street East,South Hill,WA,98373,47.1551032,-122.3224637,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:1225746077,Jacksons,Jacksons,502 37th Avenue Southeast,Puyallup,WA,98374,47.1559356,-122.2869201,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:node:5317823187,Pit Stop Express,,,Puyallup,WA,,47.1612842,-122.3031996,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:144136761,Safeway,Safeway,13302 Meridian East,Puyallup,WA,98373,47.1361674,-122.2934982,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:1115208335,Shell,Shell,,Puyallup,WA,,47.1610593,-122.3033817,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:1225746076,Shell,Shell,,Puyallup,WA,,47.1561759,-122.2868238,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,osm:way:48766565,South Hill Mini Mart,,11802 Meridian East,South Hill,WA,98373,47.1490657,-122.2935795,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:node:13267708160,7-Eleven,7-Eleven,15616 West Valley Highway,Tukwila,WA,,47.4622374,-122.2444404,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:node:13267708161,7-Eleven,7-Eleven,15616 West Valley Highway,Tukwila,WA,,47.4622119,-122.2447374,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:node:2968207776,76,76,,Tukwila,WA,,47.4693727,-122.253521,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:way:651652142,Arco,Arco,5800 Southcenter Boulevard,Tukwila,WA,98188,47.4640559,-122.2600927,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:way:119980135,Chevron,Chevron,16200 West Valley Highway,Tukwila,WA,98188,47.4580996,-122.2436125,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:way:654955088,Chevron,Chevron,,Tukwila,WA,,47.4556678,-122.2608843,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:way:385934268,ExtraMile,ExtraMile,220 Strander Boulevard,Tukwila,WA,98188,47.4554706,-122.2609133,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:node:4370516995,Michael's Mart,,,Tukwila,WA,,47.4536431,-122.2504674,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:way:119980136,My Goods Market,,16200 West Valley Highway,Tukwila,WA,98188,47.4580699,-122.2433697,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,osm:way:651652272,ampm,ampm,5800 Southcenter Boulevard,Tukwila,WA,98188,47.4641559,-122.259979,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:node:5413080736,7-Eleven,7-Eleven,,Tacoma,WA,,47.2227898,-122.4739626,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:1098593584,7-Eleven,7-Eleven,1901 South Trafton Street,Tacoma,WA,98405,47.242372,-122.4659573,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:51667639,7-Eleven,7-Eleven,1901 S Trafton Street,Tacoma,WA,98405-2823,47.2420876,-122.4658993,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:51668357,7-Eleven,7-Eleven,1002 S 38th Street,Tacoma,WA,98418-5029,47.2228325,-122.4467652,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:1034974110,Costco Gasoline,Costco,2219 South 37th Street,Tacoma,WA,98409,47.2235903,-122.4681559,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:node:5857244614,Gas Convenience,,,Tacoma,WA,,47.2433291,-122.4492198,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:node:5857244615,Gas Convenience,,,Tacoma,WA,,47.2440902,-122.4504429,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:node:5857244617,Gas Convenience,,,Tacoma,WA,,47.2439446,-122.4501908,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:40876388,Gas Convenience,,2631 South 38th Street,Tacoma,WA,98409-7355,47.2228731,-122.4727683,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:51817348,Peter's Grocery,,1307 South 38th Street,Tacoma,WA,98418-3920,47.2234288,-122.4512864,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:136049614,Safeway Fuel Station,Safeway,1302 South 38th Street,Tacoma,WA,98408,47.2228967,-122.4526882,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:1032792077,Shell,Shell,1901 Martin Luther King Jr Way,Tacoma,WA,98405,47.2435238,-122.4494138,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,osm:way:781654896,Shell,Shell,2631 South 38th Street,Tacoma,WA,98409-7355,47.2227214,-122.4731139,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
