target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,library,osm:way:267772928,Buckhead Library,,259;269 Buckhead Avenue Northeast,Atlanta,GA,30305;30305-2224,33.837621,-84.3793601,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
northlake,Northlake field,legacy_suburban_mall_node,library,osm:way:1277681590,Northlake-Barbara Loar Branch,,3772 Lavista Rd,Tucker,GA,30084-5637,33.8418513,-84.2610806,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
