target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:2686121568,BECU,BECU,200 Bellevue Way Northeast,Bellevue,WA,98004,47.6122102,-122.2013116,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:12075408303,Bank of America,,,Bellevue,WA,,47.6118541,-122.1959666,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:4849029097,Bank of America,Bank of America,,Bellevue,WA,,47.6140361,-122.1992029,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:697212586,Bank of America,Bank of America,,Bellevue,WA,,47.6184746,-122.2048252,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:5366994721,Bank of America Home Loans,Bank of America,,Bellevue,WA,,47.6122341,-122.190289,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:11280454228,Bank of Hope,,10430 Northeast 10th Street,Bellevue,WA,98004,47.6194183,-122.2006241,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:2106205083,Banner Bank,Banner Bank,,Bellevue,WA,,47.614063,-122.1964366,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:5867076387,Banner Bank,Banner Bank,,Bellevue,WA,,47.6141958,-122.1901327,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:4658727716,Beal Bank,,,Bellevue,WA,,47.6140856,-122.1939134,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:563386666,Charles Schwab,Charles Schwab,,Bellevue,WA,,47.6175422,-122.191388,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:12202921034,Chase,Chase,,Bellevue,WA,,47.6135105,-122.1950083,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:way:30832059,Chase,Chase,123 Bellevue Way Northeast,Bellevue,WA,98004,47.6118052,-122.2019272,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:way:33115668,Chase,Chase,10550 Northeast 8th Street,Bellevue,WA,98004,47.6177116,-122.1995183,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:3073271289,Columbia Bank,Columbia Bank,,Bellevue,WA,,47.6196288,-122.2012502,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:12202921031,EastWest Bank,,,Bellevue,WA,,47.6139311,-122.1942795,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:3928038755,Fidelity Investments,Fidelity Investments,,Bellevue,WA,,47.6175885,-122.2003158,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,osm:node:5366985125,First Citizens Bank,First Citizens Bank,103,Bellevue,WA,,47.6135556,-122.193313,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
