target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,hardware,osm:node:10096136163,Harbor Freight Tools,Harbor Freight Tools,9337 Silverdale Way Northwest,Silverdale,WA,98383,47.6484012,-122.6969837,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,hardware,osm:way:901693831,Harbor Freight Tools,Harbor Freight Tools,201 37th Avenue Southeast Suite b,Puyallup,WA,98374,47.1579115,-122.2905249,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,hardware,osm:way:654954846,R&B Building Supply,,510 Strander Boulevard,Tukwila,WA,98188,47.4562883,-122.2483844,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,hardware,osm:node:3605902852,Rockler Woodworking & Hardware,,,Tukwila,WA,,47.4483084,-122.260792,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,hardware,osm:node:4427199553,Tuff Shed,Tuff Shed,,Tukwila,WA,,47.4460156,-122.243706,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,hardware,osm:way:1032718701,Rosen Plumbing Supply Co,,2920 South Chandler Street,Tacoma,WA,98409,47.2333873,-122.4564921,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,hardware,osm:way:991615869,Tacoma Electric Supply Inc.,,1311 South Tacoma Way,Tacoma,WA,98409,47.2316939,-122.4513689,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,hardware,osm:node:2612241941,Tacoma Screw Products,,2001 Center Street,Tacoma,WA,98409,47.2341877,-122.4626696,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
