"region","field_id","label","anchor_field","pilot_category","facility_type","facility_id","facility_name","operator","office_tag","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","real_estate","real_estate","osm:node:5416744723","Bayani Commercial","","estate_agent","10404 Silverdale Way Northwest E104","Silverdale","WA","98383","47.6570326","-122.6866407","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_structured_real_estate_candidate","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","real_estate","real_estate","osm:node:13461033003","Aegis Land Title Group","","estate_agent","10356 Silverdale Way Northwest 100","Silverdale","WA","98383","47.6563218","-122.6873709","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_structured_real_estate_candidate","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","real_estate","real_estate","osm:way:174859269","John L. Scott","","estate_agent","","","","","47.6508610666667","-122.681844583333","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","real_estate","real_estate","osm:node:12123012868","Realty of Chicago","","estate_agent","","","","","41.7788652","-87.722514","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","real_estate","real_estate","osm:node:2819168041","MDA Chicago City Apartments","","estate_agent","","","","","41.8856397","-87.6257011","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","exclude","leasing_or_single_property_candidate","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","real_estate","real_estate","osm:node:2838225114","Apartment People","","estate_agent","750 North Franklin Street","Chicago","IL","60654","41.8962844","-87.6358489","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","exclude","leasing_or_single_property_candidate","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","real_estate","real_estate","osm:node:6029028703","Veritas House","","estate_agent","850 South Wabash Avenue 210","Chicago","IL","60605","41.8790314","-87.6266723","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_structured_real_estate_candidate","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","real_estate","real_estate","osm:node:10040117574","Weichart Realtors","","estate_agent","","","","","41.8922586","-87.6345777","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","real_estate","real_estate","osm:node:10274854552","R2 Companies","","estate_agent","40 East Huron Street","Chicago","IL","60611","41.8950819","-87.6262135","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_structured_real_estate_candidate","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","real_estate","real_estate","osm:node:12156188701","LARICY - A Division of Americorp Ltd.","","estate_agent","375 West Erie Street","","","","41.8937159","-87.6389091","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_structured_real_estate_candidate","Real-estate office footprint only; not housing price, wealth, buyer/renter identity, protected traits, demand, catchment, or individual behavior."
