"region","field_id","label","anchor_field","facility_type","retry_status","raw_row_count","bank_credit_union_rows","operator_count","excluded_rows","bank_credit_union_signal","bank_credit_union_names","gate_error","query_profile","claim_boundary"
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","bank_credit_union","fetched","1","1","1","0","observed","Bank of America","","bank_credit_union_node_retry","Finance footprint only; node-only retry; ATM-only and non-bank finance-name exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","bank_credit_union","fetched","61","60","35","1","observed_dense","Banc of California; Bank of America; Bank of Hope; Bank of the West; BBCN Bank; BMO; California Bank and Trust; Cathay Bank; CBB Bank; Chase; Citibank; Citigroup; Comerica Bank; Credit Union of Southern California; East West Bank; Eastern International Bank; EastWest Unibank; First Bank; Hanmi Bank; HSBC; LA Financial Credit Union; Los Angeles Federal Credit Union; Open Bank; Pacific City Bank; PCB Bank; SinoPac; Southland Credit Union; Torrey Pines Bank; U.S. Bank; Union Bank; UnitiBank; US METRO BANK; Wells Fargo; Wilshire Bank; Woori","","bank_credit_union_node_retry","Finance footprint only; node-only retry; ATM-only and non-bank finance-name exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","bank_credit_union","fetched","36","34","20","2","observed_dense","Bank of America; Bank of the West; BMO; California Credit Union; Chase; Citibank; City National Bank; Comerica Bank; First Bank; First Citizens Bank; Los Angeles Federal Credit Union; Mechanics Bank; One West; Pacific Premier Bank; Pacific Western Bank; Preferred Bank; Torrey Pines Bank; U.S. Bank; Union Bank; Wells Fargo","","bank_credit_union_node_retry","Finance footprint only; node-only retry; ATM-only and non-bank finance-name exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","bank_credit_union","fetched","14","13","11","1","observed","Arrowhead Credit Union; CAHP Credit Union; Chaffey Federal Credit Union; Citizens Business Bank; Golden 1 Credit Union; Mission Oaks National Bank; SCE Federal Credit Union; Schools First Federal Credit Union; U.S. Bank; Wells Fargo; Wescom","","bank_credit_union_node_retry","Finance footprint only; node-only retry; ATM-only and non-bank finance-name exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","bank_credit_union","fetched","42","40","27","2","observed_dense","Allied Healthcare Fed Credit Union; Arrowhead Credit Union; Banc of California; Bank of America; BMO; California Bank and Trust; Cathay Bank; Chase; Citibank; Comerica Bank; Community America Credit Union; Farmers & Merchants Bank; Financial Partners Credit Union; First Bank; First City Credit Union; First Foundation Bank; Kinetca Credit Union; Los Angeles Federal Credit Union; NuVision Credit Union; Orange County's Credit Union; Royal Business Bank; Schools First FCU; SchoolsFirst Federal Credit Union; South land Credit Union; U.S. Bank; US Bank; Wells Fargo","","bank_credit_union_node_retry","Finance footprint only; node-only retry; ATM-only and non-bank finance-name exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","bank_credit_union","fetched","10","9","6","1","observed","Arrowhead Credit Union; Bank of America; BBVA; Chase; U.S. Bank; Wells Fargo","","bank_credit_union_node_retry_single_merge","Finance footprint only; node-only retry; ATM-only and non-bank finance-name exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
