"region","field_id","facility_type","endpoint","fetch_status","raw_row_count","error","query_profile"
"washington","kitsap-mall","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_pilot"
"chicago","ford-city-cicero","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_pilot"
"chicago","loop-river-north","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_pilot"
"dallas","arlington-grand-prairie","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","1","","name_operator_brand_loan_mortgage_pilot"
"los_angeles","downtown-koreatown-midwilshire","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","source_gated_error","0","Response status code does not indicate success: 504 (Gateway Timeout).","name_operator_brand_loan_mortgage_pilot"
"los_angeles","long-beach-lakewood","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","source_gated_error","0","Response status code does not indicate success: 504 (Gateway Timeout).","name_operator_brand_loan_mortgage_pilot"
"los_angeles","ontario-rancho-cucamonga","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","4","","name_operator_brand_loan_mortgage_pilot"
"los_angeles","riverside-tyler-corona","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","4","","name_operator_brand_loan_mortgage_pilot"
"los_angeles","south-bay-torrance","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","source_gated_error","0","Response status code does not indicate success: 504 (Gateway Timeout).","name_operator_brand_loan_mortgage_pilot"
"los_angeles","west-la-century-city-culver","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","1","","name_operator_brand_loan_mortgage_pilot"
"philadelphia","cherry-hill-moorestown","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","source_gated_error","0","Response status code does not indicate success: 504 (Gateway Timeout).","name_operator_brand_loan_mortgage_pilot"
"philadelphia","northeast-roosevelt","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","2","","name_operator_brand_loan_mortgage_pilot"
