"region","field_id","tile_id","facility_type","endpoint","fetch_status","raw_row_count","error","query_profile"
"los_angeles","downtown-koreatown-midwilshire","sw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","downtown-koreatown-midwilshire","se","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","1","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","downtown-koreatown-midwilshire","nw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","1","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","downtown-koreatown-midwilshire","ne","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","source_gated_error","0","Response status code does not indicate success: 504 (Gateway Timeout).","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","south-bay-torrance","sw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","2","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","south-bay-torrance","se","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","1","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","south-bay-torrance","nw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","2","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","south-bay-torrance","ne","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","long-beach-lakewood","sw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","2","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","long-beach-lakewood","se","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","1","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","long-beach-lakewood","nw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_tiled_retry"
"los_angeles","long-beach-lakewood","ne","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","5","","name_operator_brand_loan_mortgage_tiled_retry"
"philadelphia","cherry-hill-moorestown","sw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","1","","name_operator_brand_loan_mortgage_tiled_retry"
"philadelphia","cherry-hill-moorestown","se","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_tiled_retry"
"philadelphia","cherry-hill-moorestown","nw","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_tiled_retry"
"philadelphia","cherry-hill-moorestown","ne","loan_mortgage","https://maps.mail.ru/osm/tools/overpass/api/interpreter","fetched","0","","name_operator_brand_loan_mortgage_tiled_retry"
