"region","field_id","label","anchor_field","pilot_category","facility_type","facility_id","facility_name","operator","brand","amenity_tag","office_tag","shop_tag","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason","claim_boundary"
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","loan_mortgage","loan_mortgage","osm:node:11795085555","Payday Loans","","","","","money_lender","South Vermont Avenue","","CA","90020","34.0686321","-118.2918905","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","exclude","payday_or_check_cash_candidate","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","loan_mortgage","loan_mortgage","osm:node:2164095342","Ace Jewelry & Loan","","","","","jewelry","","","","","34.0452538","-118.253023","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","loan_mortgage","loan_mortgage","osm:node:10827927175","Riviera Mortgage Group","","","","estate_agent","","","","","","33.817122","-118.3859828","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","loan_mortgage","loan_mortgage","osm:node:6534722618","5 Point Jewelry & Loan","","","","","pawnbroker","","","","","33.831825","-118.3145825","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","loan_mortgage","loan_mortgage","osm:node:9042227980","Redondo Mortgage Center","","","","estate_agent","","","","","","33.8726148","-118.3701095","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","loan_mortgage","loan_mortgage","osm:node:9765320465","Riviera Funding","","","","financial","","","","","","33.8168967","-118.3876497","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","loan_mortgage","loan_mortgage","osm:node:9864658494","Beach Lending","","","","estate_agent","","","","","","33.8586198","-118.3611329","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","loan_mortgage","loan_mortgage","osm:node:13181306175","Fairway Mortgage Services","","","","financial","","","","","","33.8601203","-118.0713461","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","loan_mortgage","loan_mortgage","osm:node:1506867096","GROW Mortgages","","","","","money_lender","44501 Carson Street 203","Long Beach","CA","90808","33.8325924","-118.140527","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","loan_mortgage","loan_mortgage","osm:node:3523016587","Northstar Mortgage","","","","","","","","","","33.8474793","-118.1248768","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; tiled retry; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
