"region","field_id","label","anchor_field","pilot_category","facility_type","facility_id","facility_name","operator","brand","amenity_tag","office_tag","shop_tag","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason","claim_boundary"
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","loan_mortgage","loan_mortgage","osm:node:7164922833","Loan’s Hair Design","","","","","hairdresser","","","","","32.7093749","-97.0807477","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","loan_mortgage","loan_mortgage","osm:node:11843390720","Raybon Mortgage","","","","estate_agent","","537","","","","34.0692905","-117.6514079","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","loan_mortgage","loan_mortgage","osm:node:13688761775","XX Blending Co.","","","","","hairdresser","780 East Foothill Boulevard 2","Upland","","91786","34.1061693","-117.640281","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","loan_mortgage","loan_mortgage","osm:node:8071714021","Monterey Mortgage Hard Money Loans & Trust Deed Investments","","","bank","","","9513 Business Center Drive Ste G","Rancho Cucamonga","CA","91730","34.0988444","-117.5976413","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","exclude","bank_credit_union_branch_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","loan_mortgage","loan_mortgage","osm:way:889105045","Inland Jewely & Loan","","","","","pawnbroker","580","","","","34.1067206714286","-117.643252471429","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","loan_mortgage","loan_mortgage","osm:node:14093525571","paramount Residential Mortgage Group","","","","estate_agent","","1265 Corona Pointe Court","Corona","CA","92879","33.8704818","-117.5423073","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","loan_mortgage","loan_mortgage","osm:way:1149296478","Pinpoint Realtors & Pinpoint Lending","","","","","","1335 Corona Pointe Court","Corona","CA","92879","33.87098911","-117.53996958","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","loan_mortgage","loan_mortgage","osm:way:186995458","Pay Day Loans","","","","","money_lender","","","","","33.91974382","-117.44817636","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","loan_mortgage","loan_mortgage","osm:way:7286246","Sloan Drive","","","","","","","","","","33.8930974666667","-117.51165092","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","loan_mortgage","loan_mortgage","osm:node:5282412720","Wells Fargo Home Mortgage","","","bank","","","","","","","34.0672656","-118.3964034","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","exclude","bank_credit_union_branch_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"philadelphia","northeast-roosevelt","Northeast Philadelphia / Roosevelt Boulevard field","inner_suburban_auto_corridor_field","loan_mortgage","loan_mortgage","osm:way:580624975","Sloane Toyota of Philadelphia","","Toyota","","","car","1546 Cottman Avenue","Philadelphia","PA","19111","40.05516457","-75.07503285","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
"philadelphia","northeast-roosevelt","Northeast Philadelphia / Roosevelt Boulevard field","inner_suburban_auto_corridor_field","loan_mortgage","loan_mortgage","osm:way:618324174","Sloane Honda","","","","","","9903 Bustleton Avenue","Philadelphia","PA","19115","40.0949619421053","-75.0299255210526","OpenStreetMap Overpass API","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","public_facing_loan_mortgage_candidate","Loan/mortgage office footprint only; separate from bank/credit-union and real-estate counts; not credit quality, lending approval, assets, income, risk, demand, catchment, or individual behavior."
