"region","field_id","label","anchor_field","facility_type","fetch_status","raw_row_count","bank_credit_union_rows","operator_count","excluded_rows","bank_credit_union_signal","bank_credit_union_names","gate_error","claim_boundary"
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","bank_credit_union","source_gated_error","0","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","bank_credit_union","fetched","63","63","20","0","observed_dense","Chase; Fifth Third Bank; Bank of America; PNC Bank; Morningstar Inc.; First American Bank; Citibank; Lakeside Bank; U.S. Bank; BMO; First Northern Credit Union; Old Second National Bank; Byline Bank; State Bank of India; Wintrust; Wells Fargo; North Community Bank; Wintrust Bank Fulton Market; ABOC; CIBC Bank USA","","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","bank_credit_union","fetched","20","19","14","1","observed","Chase; Pinnacle Bank; Wells Fargo; Frost Bank; Local 20 IBEW Federal Credit Union; Truist; PlainsCapitalBank; Worthington National Bank; Bank of America; Texas Trust Credit Union - Grand Prairie; Grand Prairie Credit Union; Texas Trust Credit Union; Bank Credit Union; American First National Bank; BancorpSouth Bank","","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","bank_credit_union","source_gated_error","0","0","0","0","source_gated","","Response status code does not indicate success: 429 (Too Many Requests).","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","bank_credit_union","source_gated_error","0","0","0","0","source_gated","","Response status code does not indicate success: 429 (Too Many Requests).","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","bank_credit_union","source_gated_error","0","0","0","0","source_gated","","Response status code does not indicate success: 429 (Too Many Requests).","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","bank_credit_union","source_gated_error","0","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","bank_credit_union","fetched","50","50","31","0","observed_dense","Citibank; Schools First Federal Credit Union; Chase; South Bay Credit Union; Kinecta Federal Credit Union; Cathay Bank; Farmers & Merchants Bank; Columbia Bank; Community America Credit Union; CTBC Bank; BMO; Pacific Premier Bank; City National Bank; First Citizens Bank; First Bank; Bank of America; Shinhan Bank America; Woori America Bank; CalCom Federal Credit Union; CBB Bank; First Financial; California Credit Union; Kinecta; Bank of Hope; Comerica Bank; Hanmi Bank; Wells Fargo; Union Bank; US Bank; Nikkei Credit Union; Wescom Financial","","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","bank_credit_union","source_gated_error","0","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
"chicago","old-orchard-skokie","Old Orchard / Skokie field","north_suburban_mall_field","bank_credit_union","fetched","8","8","8","0","observed","BMO; Huntington Bank; Fifth Third Bank; First American Bank; Citibank; Bank of America; Chase; U.S. Bank","","Finance footprint only; ATM-only exclusions preserved; not income, wealth, credit, lending, assets, customers, demand, or catchment."
