"target_id","sidecar_layer","fetch_status","raw_row_count","packet_ready_rows","excluded_rows","movement_signal","observed_names","gate_error","claim_boundary"
"arlington-grand-prairie-tx","motel_lodging","fetched","40","40","0","observed","Aloft Dallas Arlington Entertainment District; Baymont Arlington at Six Flags Dr; Candlewood Suites; Comfort Suites Arlington - Entertainment District; Courtyard Dallas Grand Prairie; Crown Inn; Days Inn; Econo Lodge; Extended Stay America; Fairfield Inn & Suites Arlington Near Six Flags; Four Points by Sheraton Dallas Arlington Entertainment District; Hampton Inn & Suites; Hilton Arlington; Hilton Garden Inn Dallas/Arlington; Hilton Garden Inn Grand Prairie at EpicCentral; Holiday Inn; Holiday Inn Express & Suites Arlington North Stadium Area,; Homewood Suites; Howard Johnson; InTown Suites Extended Stay Arlington TX - Central; Knights Inn; La Quinta Inn; La Quinta Inn & Suites Dallas Grand Prairie North; Loews Arlington Hotel and Convention Center; Lux Hotel & Spa; Mayflower Motel; Motel 6 Arlington TX Entertainment District; Parkway Inn; R Nite Star Inn & Suites; Ranger Inn & Suites; Residence Inn; Residence Inn Arlington; Rodeway Inn; Sheraton Arlington Hotel; Sleep Inn Arlington Near Six Flags; SpringHill Suites Dallas Arlington North; Super 8; Super 8 by Wyndham Grand Prairie North; The Arlin, Arlington, a Tribute Portfolio Hotel; TownePlace Suites Dallas Arlington North","","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"arlington-grand-prairie-tx","truck_stop","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"bainbridge-island-wa","ferry_terminal","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"bremerton-wa","ferry_terminal","fetched","16","8","8","observed","Annapolis Ferry Dock; Bremerton; Bremerton Ferry Terminal; ferry terminal; Port Orchard; Port Orchard Ferry Dock","","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"camp-creek","transit_center","fetched","0","0","0","checked_absent","","","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"center-city-market-east","transit_center","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 429 (Too Many Requests).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"cherry-hill-moorestown","motel_lodging","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"cherry-hill-moorestown","truck_stop","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"ford-city-cicero","transit_center","fetched","0","0","0","checked_absent","","","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"kingston-wa","ferry_terminal","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"loop-river-north","transit_center","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 429 (Too Many Requests).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"northeast-roosevelt","motel_lodging","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"northeast-roosevelt","truck_stop","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 504 (Gateway Timeout).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"perimeter-wide","transit_center","reused_existing_review","4","4","0","observed","Dunwoody; Medical Center; North Springs; Sandy Springs","reused fixtures/civic/osm-transit-center-atlanta-anchor-fields-review-2026-08-13.csv","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
"university-city-30th-street","transit_center","source_gated_error","0","0","0","source_gated","","Response status code does not indicate success: 429 (Too Many Requests).","Movement-sidecar presence only; not catchment, route choice, trip purpose, freight flow, demand, or service adequacy."
