"target_id","target_label","movement_type","anchor_field","sidecar_layer","facility_id","facility_name","operator","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:5372090220","11th Street","Southeastern Pennsylvania Transportation Authority","","Philadelphia","PA",,"39.9517977","-75.1583456","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:471026103","12th-13th & Locust","PATCO","","Philadelphia","PA","19107","39.9478496","-75.161588","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:5372098384","13th Street","Southeastern Pennsylvania Transportation Authority","","Philadelphia","PA",,"39.952184","-75.1615338","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:5372039290","8th & Market","Southeastern Pennsylvania Transportation Authority","","Philadelphia","PA",,"39.9512871","-75.1535469","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:7194028327","8th & Market","PATCO","","Philadelphia","PA",,"39.9509527","-75.1536208","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:5372039289","8th Street","Southeastern Pennsylvania Transportation Authority","","Philadelphia","PA",,"39.9511591","-75.1537918","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:5377316453","City Hall","Southeastern Pennsylvania Transportation Authority","","Philadelphia","PA","19107","39.9531287","-75.1642021","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:2644271944","Jefferson Station","SEPTA","","Philadelphia","PA","19107","39.9527752","-75.1580261","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"center-city-market-east","Center City / Market East field","depot_intermodal","dense_northeast_rail_civic_retail_field","transit_center","osm:node:775922859","Suburban Station","SEPTA","","Philadelphia","PA","19103","39.9542026","-75.1673687","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:node:11077880853","Kingston","","","Kingston","WA",,"47.7939764","-122.4954398","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:node:48527722","Kingston","","","Kingston","WA",,"47.7946592","-122.4948327","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:node:945601797","Kingston","","","Kingston","WA",,"47.7949768","-122.4945372","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:relation:3829301","Kingston Ferry Terminal","Washington State Ferries","","Kingston","WA",,"47.7958236","-122.4962781","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:way:287711634","Kingston Ferry Terminal","","","Kingston","WA",,"47.7967108","-122.4967125","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:way:287711641","Kingston Ferry Terminal","","","Kingston","WA",,"47.7967546","-122.4965725","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:way:287711644","Kingston Ferry Terminal","","","Kingston","WA",,"47.7967336","-122.4966385","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"kingston-wa","Kingston WA","ferry_side_landing","ferry_side_town_provisioning_node","ferry_terminal","osm:way:502834563","WSDOT Ferry Terminal - Kingston","","","Kingston","WA",,"47.7956543","-122.4956569","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:5073776567","Chicago Union Station","Amtrak;Metra","","Chicago","IL","60606","41.8786411","-87.6390928","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:13816179869","Clark/Lake","Chicago Transit Authority","","Chicago","IL","60601","41.8857441","-87.6327419","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:258940066","Clark/Lake","Chicago Transit Authority","","Chicago","IL","60601","41.8857528","-87.6313736","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
