ring,leader,leader_stores,total_stores,status,home_depot_stores,lowes_stores,lowes_share
urban_core,McDonald's,33,88,contested,0,0,0.000
inner_suburb,McDonald's,106,294,contested,0,0,0.000
outer_suburb,McDonald's,83,234,contested,0,0,0.000
exurb,McDonald's,7,23,contested,0,0,0.000

brand,store_id,city,county_name,ring,distance_from_core_miles
Burger King,4fc436d1-a96e-47ce-a9dc-fc03e0e78e7c,Atlanta,Fulton County,urban_core,0.97
Taco Bell,f62e7ab7-85a0-40d4-8d1e-7d7821ab57ce,Atlanta,Fulton County,urban_core,1.64
Burger King,2b463890-82b4-43fb-acf9-25c13ff85479,Atlanta,Fulton County,urban_core,1.74
Taco Bell,e0330719-c5aa-4076-9072-68f6cfdff885,Atlanta,Fulton County,urban_core,1.85
Wendy's,37ac2ed9-4b3d-4992-96f8-cc2920596101,Atlanta,Fulton County,urban_core,1.89
McDonald's,f6a19224-0142-480a-8d92-73b65c881185,Atlanta,Fulton County,urban_core,2.04
Wendy's,be0033ef-15a2-43cf-9695-0bae30753194,Atlanta,Fulton County,urban_core,2.05
Taco Bell,94af54d8-3867-43ce-85d6-8d0f211e937b,Atlanta,Fulton County,urban_core,2.16
Wendy's,9961aa1b-4ec4-4c0c-9e88-6beca49aef2f,Atlanta,DeKalb County,urban_core,2.25
McDonald's,baae0dde-1c5e-4604-b120-2ba7e034e9fa,Atlanta,DeKalb County,urban_core,2.26
McDonald's,0dce0aa1-f5a7-46a5-a150-b1f6423affa9,Atlanta,Fulton County,urban_core,2.29
McDonald's,5f7afaf5-9bf6-4710-81db-159e90e9b8fe,Atlanta,Fulton County,urban_core,2.71
Burger King,40500aaa-5fba-4318-8161-9f5625ecdd26,Atlanta,Fulton County,urban_core,2.74
Burger King,f1f14a16-804d-4e64-a080-b579bab1b92b,Atlanta,DeKalb County,urban_core,2.85
McDonald's,aa62c16c-aec7-4e1d-8198-cd769dd6e8aa,Atlanta,Fulton County,urban_core,3.71
Wendy's,03630e86-dc5b-4862-9af0-22ecaede1b00,Atlanta,Fulton County,urban_core,3.74
Taco Bell,1796cb7d-5c3f-49b4-8744-c3afbea88418,Atlanta,Fulton County,urban_core,3.97
Wendy's,5aff438f-ab73-468d-a474-8041d6c110f0,Atlanta,Fulton County,urban_core,4.06
McDonald's,f87ac6a4-bb16-49c2-bcd0-26511bdb8ccd,Atlanta,Fulton County,urban_core,4.41
Wendy's,86c7f98f-c920-4e5f-9a71-a31b35d22b07,Atlanta,Fulton County,urban_core,4.42
Wendy's,4cadf71b-a7ac-4654-9212-2c0f0c1b7172,Atlanta,Fulton County,urban_core,4.54
McDonald's,b5b31302-0377-4d1d-989c-de6a479848c7,Atlanta,Fulton County,urban_core,4.56
Burger King,423a76d2-6dc6-4f07-bffe-ffe051c57f07,Atlanta,Fulton County,urban_core,4.59
Burger King,f7a9f4a4-0db1-4bb9-89f6-1b61bfe9605d,Atlanta,Fulton County,urban_core,4.80
McDonald's,ecefe6f0-f12b-4047-9c9b-e7f2fcb0cdec,East Point,Fulton County,urban_core,4.98
McDonald's,2843f678-d2c1-44f2-8911-f74218280810,Atlanta,Fulton County,urban_core,5.32
McDonald's,bdbae3c9-25f2-4071-90fe-de48a5325e75,Decatur,DeKalb County,urban_core,5.44
McDonald's,4c1bd3bf-236a-453b-9023-5e9c302c1483,Decatur,DeKalb County,urban_core,5.67
McDonald's,9ed9bf8b-45c8-49df-996c-7c29c47a83fb,Atlanta,Fulton County,urban_core,5.96
Taco Bell,061cd1e4-9438-4089-9c2d-2508b905f07c,East Point,Fulton County,urban_core,6.03
McDonald's,582ddbb4-097f-4ecc-a618-1ca86e9016c0,Decatur,DeKalb County,urban_core,6.14
Wendy's,507531bd-0d30-4a9d-9a7a-30fe594c402c,Atlanta,Fulton County,urban_core,6.17
Wendy's,c7c543ef-0c6f-4b94-a8fd-b67c85042b89,Atlanta,DeKalb County,urban_core,6.23
Wendy's,241dcb07-5dac-4217-82dc-e88d43ddae9f,Atlanta,DeKalb County,urban_core,6.39
Burger King,9cba3bfa-183e-4f87-9092-859cf0ce555a,Atlanta,DeKalb County,urban_core,6.40
McDonald's,377421a3-5a2c-4605-8682-92c7ba547faa,Brookhaven,DeKalb County,urban_core,6.45
Taco Bell,59c50432-fba3-4bde-991c-e44233735252,Atlanta,DeKalb County,urban_core,6.48
Wendy's,7a988ed4-90a3-40d1-a126-b0d1f3b7a358,Hapeville,Fulton County,urban_core,6.48
Burger King,0fd67c9f-e1f0-4aa7-844a-080b9a37b7b2,Atlanta,Fulton County,urban_core,6.48
Wendy's,9374819b-3c53-4d68-8f6e-eb8f8c56a365,Hapeville,Fulton County,urban_core,6.59
McDonald's,06aa1c43-7d15-40b5-88f1-1cf804cb74b4,Hapeville,Fulton County,urban_core,6.60
McDonald's,de5a2f60-8bc9-4261-b8b9-23c872f09c0a,East Point,Fulton County,urban_core,6.63
McDonald's,a99a9739-ce5c-423d-835b-65442bce67f4,Atlanta,Fulton County,urban_core,6.66
Burger King,01890b4f-2c18-4ba8-a743-8b200f4d30ff,Decatur,DeKalb County,urban_core,6.88
Wendy's,74604f91-ee42-4e89-bb57-8956d4bc534b,Decatur,DeKalb County,urban_core,6.89
Taco Bell,66586026-85bf-4790-a130-b1973ba8d71d,Decatur,DeKalb County,urban_core,6.97
Wendy's,339baf50-d807-4f98-84b0-e8c2709373ad,Decatur,DeKalb County,urban_core,7.02
Wendy's,39e62508-5da8-4589-8856-206815e35307,Atlanta,Fulton County,urban_core,7.07
McDonald's,715d999f-0558-4c9b-9c31-40e7aead5262,Forest Park,Clayton County,urban_core,7.10
Wendy's,1c754aca-0305-4eef-ab93-b2561bcf8646,Atlanta,Fulton County,urban_core,7.10
