field_id,label,anchor_field,bank_credit_union_rows,operator_count,address_incomplete_rows,bank_credit_union_names
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,32,22,25,BECU; Bank of America; Bank of America; Bank of America; Bank of America Home Loans; Bank of Hope; Banner Bank; Banner Bank; Beal Bank; Charles Schwab; Chase; Chase; Chase; Columbia Bank; EastWest Bank; Fidelity Investments; First Citizens Bank; First Tech Federal Credit Union; HSBC; Heritage Bank; KeyBank; KeyBank; Mechanics Bank; Pacific Premier Bank; U.S. Bank; U.S. Bank; Umpqua Bank; WaFd Bank; WaFd Bank; WaFd Bank; Wells Fargo; Wells Fargo
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,7,7,5,BECU; Bank of America; Chase; KeyBank; U.S. Bank; UniBank; Wells Fargo
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,11,11,3,Bank of America; Chase; Federal Reserve Bank of San Francisco - Seattle Branch; Gesa Credit Union; KeyBank; Mechanics Bank; Salal Credit Union; Seattle Credit Union; Sound Credit Union; U.S. Bank; Wells Fargo
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,4,4,0,Bank of America; Qualstar; U.S. Bank; Wells Fargo
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,13,12,3,BECU; Bank of America; Bank of America; Chase; Columbia Bank; Connection Credit Union; First Federal; KeyBank; Kitsap Bank; Kitsap Credit Union; Navy Federal Credit Union; Timberland Bank - Silverdale; Wells Fargo
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,14,13,0,1st Security Bank Home Lending; BECU; Bank of America; Chase; Harborstone Credit Union; Heritage Bank; KeyBank; Kitsap Credit Union; Red Canoe Credit Union; Timberland Bank; U.S. Bank; Umpqua Bank; Umpqua Bank; Wells Fargo
