field_id,label,observed_dimensions,civic_dimensions_observed,has_library,has_park,has_post_office,has_transit_center,has_pharmacy,context_archetype,archetype_summary,library_names,park_names,post_office_names,transit_center_names,pharmacy_names
bellevue-core,Bellevue core mall field,5,4,true,true,true,true,true,full_civic_everyday_field,All checked civic anchors plus pharmacy,Bellevue Library,Bellevue Downtown Park; Georgia Zumdieck Park; Goddard Park; Isan Park; Meydenbauer Bay Park; Wildwood Park,Bellevue Post Office,Bellevue Downtown; Bellevue Transit Center; East Main,Bartell Drugs; CVS Pharmacy
factoria,Bellevue Factoria field,2,2,false,true,true,false,false,park_postal_field,Postal evidence plus public open space,,Norwood Village Neighborhood Park; Southeast 32nd Street Park; Sunset Park; Sunset Ravine Neighborhood Park,Post Office,,
southcenter-tukwila,Southcenter / Tukwila mall field,4,4,true,true,true,true,false,full_civic_no_checked_pharmacy,All checked civic anchors but no checked pharmacy,Southcenter Library Connection,Bicentennial Park; Crystal Springs Park; Hazelnut Park; Ikawa Park; Macadam Winter Garden; Tukwila Park; Tukwila Pond Park,Tukwila Post Office,Tukwila,
tacoma-mall,Tacoma Mall field,1,1,false,true,false,false,false,park_only_checked_context_field,Named public open space only among checked anchors,,Edna Travis Park; Irving Park; Lincoln Heights Park; Sawyer Tot Lot; Sheridan Park; Stanley Playfield,,,
kitsap-mall,Kitsap Mall / Silverdale field,5,4,true,true,true,true,true,full_civic_everyday_field,All checked civic anchors plus pharmacy,Kitsap Regional Library - Silverdale,Silver Leaf Park,Silverdale Post Office,Silverdale Transit Center,CVS Pharmacy
south-hill-puyallup,South Hill / Puyallup field,3,2,false,true,false,true,true,mobility_pharmacy_public_space_field,Transit and pharmacy with public open space,,Bradley Lake Park; Heritage Recreation Center; Wildwood Park,,South Hill Mall Transit Center; South Hill Park and Ride,CVS Pharmacy
