field_id,label,anchor_field,library_rows,operator_count,address_incomplete_rows,library_names
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,1,1,0,Bellevue Library
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,1,1,0,Southcenter Library Connection
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,1,1,0,Kitsap Regional Library - Silverdale
