field_id,label,anchor_field,laundromat_rows,operator_count,address_incomplete_rows,laundromat_names
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,1,1,0,38th Street Laundromat
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,1,1,0,Puyallup South Hill Laundry
