review_status,rows
exclude,5
packet_ready,734

review_reason,rows
duplicate_candidate,5
primary_store_candidate,734

total_stores,734

brand,stores
Advance Auto Parts,246
AutoZone,222
NAPA Auto Parts,17
O'Reilly Auto Parts,249

city,state,leader,leader_stores,total_stores,status
Acworth,GA,Advance Auto Parts,3,10,contested
Adairsville,GA,Advance Auto Parts,1,2,contested
Adel,GA,O'Reilly Auto Parts,1,1,dominant
Albany,GA,AutoZone,4,10,contested
Alma,GA,O'Reilly Auto Parts,2,2,dominant
Alpharetta,GA,Advance Auto Parts,2,4,contested
Americus,GA,Advance Auto Parts,1,3,contested
Ashburn,GA,O'Reilly Auto Parts,1,1,dominant
Athens,GA,Advance Auto Parts,5,14,contested
Atlanta,GA,AutoZone,12,28,contested
Auburn,GA,AutoZone,1,2,contested
Augusta,GA,Advance Auto Parts,7,19,contested
Austell,GA,O'Reilly Auto Parts,1,1,dominant
Bainbridge,GA,Advance Auto Parts,1,2,contested
Ball Ground,GA,O'Reilly Auto Parts,1,1,dominant
Barnesville,GA,AutoZone,1,2,contested
Baxley,GA,O'Reilly Auto Parts,1,1,dominant
Bethlehem,GA,Advance Auto Parts,1,1,dominant
Blackshear,GA,Advance Auto Parts,1,2,contested
Blairsville,GA,AutoZone,1,2,contested
Blakely,GA,Advance Auto Parts,1,1,dominant
Blue Ridge,GA,O'Reilly Auto Parts,1,1,dominant
Bonaire,GA,O'Reilly Auto Parts,1,1,dominant
Bowdon,GA,AutoZone,1,1,dominant
Braselton,GA,Advance Auto Parts,1,1,dominant
Bremen,GA,Advance Auto Parts,1,2,contested
Brookhaven,GA,Advance Auto Parts,1,3,contested
Brunswick,GA,AutoZone,3,8,contested
Buford,GA,O'Reilly Auto Parts,3,6,contested
Byron,GA,Advance Auto Parts,1,2,contested
Cairo,GA,Advance Auto Parts,1,2,contested
Calhoun,GA,Advance Auto Parts,1,3,contested
Camilla,GA,Advance Auto Parts,1,2,contested
Canton,GA,Advance Auto Parts,4,9,contested
Carrollton,GA,AutoZone,2,5,contested
Cartersville,GA,Advance Auto Parts,3,7,contested
Cedartown,GA,Advance Auto Parts,1,3,contested
Chamblee,GA,Advance Auto Parts,1,2,contested
Chatsworth,GA,AutoZone,1,2,contested
Chickamauga,GA,Advance Auto Parts,1,2,contested
Clarkesville,GA,AutoZone,1,1,dominant
Claxton,GA,Advance Auto Parts,1,2,contested
Clayton,GA,Advance Auto Parts,1,2,contested
Cleveland,GA,Advance Auto Parts,1,3,contested
Cochran,GA,Advance Auto Parts,1,2,contested
Cohutta,GA,AutoZone,1,1,dominant
Columbus,GA,Advance Auto Parts,8,20,contested
Commerce,GA,Advance Auto Parts,1,3,contested
Conyers,GA,O'Reilly Auto Parts,3,7,contested
Cordele,GA,AutoZone,1,2,contested
Cornelia,GA,AutoZone,1,2,contested
Covington,GA,Advance Auto Parts,2,5,contested
Cumming,GA,Advance Auto Parts,4,11,contested
Dacula,GA,Advance Auto Parts,1,2,contested
Dahlonega,GA,Advance Auto Parts,1,2,contested
Dallas,GA,AutoZone,3,6,contested
Dalton,GA,Advance Auto Parts,3,8,contested
Darien,GA,O'Reilly Auto Parts,1,1,dominant
Dawson,GA,NAPA Auto Parts,1,2,contested
