field_id,label,anchor_field,expected_anchor_test,total_stores,home_improvement_stores,home_improvement_brands,auto_parts_stores,auto_parts_brands,grocery_stores,grocery_brands,mass_retail_stores,mass_retail_brands,drugstore_stores,drugstore_brands,retail_complexes,retail_complex_types,has_mall_complex,retail_complex_names,qsr_stores,qsr_brands,category_summary,categories_with_quarter_mile_spacing,categories_with_half_mile_spacing,nearest_spacing_miles,anchor_modifier,evidence_strength_hint
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,urban_or_edge_city_mall_service_grid,8,0,0,0,0,2,2,0,0,2,2,3,2,0,Ashwood Plaza; Bellevue Plaza Shopping Center; Plaza East,1,1,drugstore:2 stores/2 brands; grocery:2 stores/2 brands; qsr:1 stores/1 brands; retail_complex:3 stores/2 brands,0,1,0.44,small_complex_service_edge,capacity_first
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,capacity_or_edge_city_service_grid,7,0,0,1,1,1,1,1,1,0,0,1,1,0,The Marketplace at Factoria,3,3,auto_parts:1 stores/1 brands; grocery:1 stores/1 brands; mass_retail:1 stores/1 brands; qsr:3 stores/3 brands; retail_complex:1 stores/1 brands,1,1,0.1,complex_service_modifier,capacity_first
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,active_or_edge_city_mall_service_grid,11,1,1,0,0,0,0,2,2,0,0,4,3,1,Parkway Plaza; Parkway Square Shopping Center; Southcenter Mall; Southcenter Plaza,4,4,home_improvement:1 stores/1 brands; mass_retail:2 stores/2 brands; qsr:4 stores/4 brands; retail_complex:4 stores/3 brands,2,2,0.05,urban_mall_service_grid,strong_rivalry_supported
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,active_regional_mall_anchor,10,0,0,2,2,1,1,1,1,0,0,3,2,1,Lincoln Plaza Shopping Center; Tacoma Mall Plaza; Tacoma Mall Shopping Ctr,3,3,auto_parts:2 stores/2 brands; grocery:1 stores/1 brands; mass_retail:1 stores/1 brands; qsr:3 stores/3 brands; retail_complex:3 stores/2 brands,1,2,0.06,urban_mall_service_grid,rivalry_supported
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,ferry_side_regional_anchor,18,2,2,3,2,3,3,2,2,1,1,3,3,1,KITSAP MALL; Silverdale Plaza; Silverdale Shopping Center,4,4,auto_parts:3 stores/2 brands; drugstore:1 stores/1 brands; grocery:3 stores/3 brands; home_improvement:2 stores/2 brands; mass_retail:2 stores/2 brands; qsr:4 stores/4 brands; retail_complex:3 stores/3 brands,2,5,0.16,active_regional_mall_anchor,strong_rivalry_supported
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,suburban_mall_service_grid,17,2,2,2,2,2,2,2,2,1,1,2,1,1,Cafaro SOUTH HILL MALL (PUYALLUP WA); SOUTH HILL MALL,6,4,auto_parts:2 stores/2 brands; drugstore:1 stores/1 brands; grocery:2 stores/2 brands; home_improvement:2 stores/2 brands; mass_retail:2 stores/2 brands; qsr:6 stores/4 brands; retail_complex:2 stores/1 brands,2,3,0.05,active_regional_mall_anchor,strong_rivalry_supported
