region,field_id,label,anchor_field,insurance_rows,insurance_brands,insurance_brand_list,insurance_names,insurance_signal
washington,bellevue-core,Bellevue core mall field,eastside_urban_mall_field,8,4,Allstate; American Family Insurance; Farmers Insurance; State Farm,Albert Tadevosyan - State Farm Insurance; American Family Insurance - Elaine Tran Weseman; Farmers Insurance - Dennis Sutich; Farmers Insurance - Sheila Mac Lane; Jeremy Olson; Malinda Zampera - State Farm Insurance Agent; The Denslow Agency: Allstate Insurance; Thida Sin: Allstate Insurance,dense_multi_brand_insurance_service_grid
washington,factoria,Bellevue Factoria field,eastside_power_center_mall_edge,3,2,Allstate; State Farm,Allstate; Jeffrey Norton; Theresa Nguyen - State Farm Insurance Agent,insurance_service_node
washington,kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,17,5,Allstate; American Family Insurance; Farmers Insurance; GEICO; State Farm,American Family Insurance; American Family Insurance - Barry Doll; American Family Insurance - Joshua Spain; David Lee - State Farm Insurance Agent; Farmers Insurance - Kevin Vanderheyden; Farmers Insurance - Samuel Mobley II; Farmers Insurance - Steven Barela; Farmers Insurance Silverdale-Kathi McArthur Insurance Agency; GEICO Insurance Agent; GEICO Insurance Agent; Jeff Reed - State Farm Insurance Agent; Joseph Del Grosso: Allstate Insurance; Kevin Krieger; Nicole Grigg - State Farm Insurance Agent; Scott Cashman - State Farm Insurance Agent; Shellee Liggett: Allstate Insurance; Tom Bennett: Allstate Insurance,dense_multi_brand_insurance_service_grid
washington,south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,5,4,Allstate; American Family Insurance; Farmers Insurance; State Farm,American Family Insurance; Farmers Insurance Agency - Chris Faverty; Gerry Moody State Farm Insurance Agent; John Gonzaga American Family Insurance; William Leamer: Allstate Insurance,multi_brand_insurance_service_grid
washington,southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,7,3,American Family Insurance; Farmers Insurance; State Farm,American Family Insurance - Amy Calhoun; American Family Insurance - Lam Trinh; Claude Bullock III - State Farm Insurance Agent; Farmers Insurance - Garrett Schwartz; Farmers Insurance - Gary Foster; Farmers Insurance - Joseph Turner; Farmers Insurance - Kaleab Assefa,multi_brand_insurance_service_grid
washington,tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,3,3,Allstate; Farmers Insurance; State Farm,Farmers Insurance - Rosa Lucas; Kevin Olive - State Farm Insurance Agent; Larson Financial and Insurance,insurance_service_node
atlanta,buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,18,5,Allstate; American Family Insurance; Farmers Insurance; GEICO; State Farm,Adria Gaston: Allstate Insurance; Allstate Insurance: The Raphael Baker Agency; Allstate Personal Financial Representative Scott Peterzell; American Family Insurance; Brittany Eady: Allstate Insurance; Carmella Larkins: Allstate Insurance; Cheryl S Parsel - State Farm Insurance Agent; Dana Shivalier - State Farm Insurance Agent; David Borenstein: Allstate Insurance; Farmers Insurance - Mishon Williams; GEICO; Lace Whitten - State Farm Insurance Agent; Lace Whitten State Farm Agency; Marilyn Todd: Allstate Insurance; Peachy Insurance: Allstate Insurance; Ryan King - State Farm Insurance Agent; State Farm Insurance; Tyler McDaniels: Allstate Insurance,dense_multi_brand_insurance_service_grid
atlanta,camp-creek,Camp Creek field,airport_edge_power_center,2,1,Allstate,Allstate Life Insurance Specialist: Weldon Coleman; Dardier Rogers: Allstate Insurance,insurance_service_node
atlanta,cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,32,5,Allstate; American Family Insurance; Farmers Insurance; Nationwide Insurance; State Farm,Allstate; Allstate; Allstate Insurance; Amber Murrell - State Farm Insurance Agent; American Family Insurance - Raphael Fisher; Angela Matthews - State Farm Insurance Agent; Brad Bollier - State Farm Insurance Agent; Brandon Daniel: Allstate Insurance; Brianna Gordon: Allstate Insurance; Derrick Morrow State Farm Insurance Agency; Dexter Raimey: Allstate Insurance; Farmers Insurance - Carmon Cambrice; Farmers Insurance - Carmon Cambrice; Guided Insurance: Allstate Insurance; James Kuria: Allstate Insurance; Jared Mula - State Farm Insurance Agent; Joe DeBose - State Farm Insurance Agent; Lisa Dobbs - State Farm Insurance Agent; Mark Hutchens - State Farm Insurance Agent; Nathaniel Ellis State Farm Insurance Agent; Nationwide Insurance: Walter Wade Agency; Peachy Insurance; Quinn Kemp American Family Insurance; Raphael Fisher Agency Llc American Family Insurance; Renard Robinson: Allstate Insurance; Sheena Calloway: Allstate Insurance; State Farm Insurance; Stephen Cole - State Farm Insurance Agent; Sumbo Omonaiye - State Farm Insurance Agent; The Stubbs/Eubanks Agency: Allstate Insurance; Valerie Randolph; Valerie Randolph: Allstate Insurance,dense_multi_brand_insurance_service_grid
atlanta,decatur-emory,Decatur / Emory field,inner_service_village,8,4,Allstate; Farmers Insurance; GEICO; State Farm,Allstate; Arthur Ratliff - State Farm Insurance Agent; Dan Barracliff State Farm Insurance Agent; Farmers Insurance - The Moran Agency; GEICO Insurance Agent; Hunter Rogers - State Farm Insurance Agent; John Oxford State Farm; Rob Enfinger: Allstate Insurance,dense_multi_brand_insurance_service_grid
