ring,leader,leader_stores,total_stores,status,home_depot_stores,lowes_stores,lowes_share
urban_core,Home Depot,6,7,dominant,6,1,0.143
inner_suburb,Home Depot,31,44,dominant,31,13,0.295
outer_suburb,Home Depot,19,25,dominant,19,6,0.240
exurb,Home Depot,3,3,dominant,3,0,0.000

brand,store_id,city,county_name,ring,distance_from_core_miles
Home Depot,49148559-765e-4c50-88fc-1571304d6781,Lawrenceville,Gwinnett County,outer_suburb,26.18
Home Depot,64da7bd7-0b37-41fd-981a-f0367f53c205,Suwanee,Gwinnett County,outer_suburb,26.95
Home Depot,c6d7b45b-4a8a-4996-b82f-c16f45df0e40,Peachtree City,Fayette County,outer_suburb,27.04
Lowe's,6689f05b-6f61-43ce-897d-6ba9f9106687,Suwanee,Gwinnett County,outer_suburb,27.56
Home Depot,1f9c59ba-5b80-43c6-a399-7491460ee661,Loganville,Walton County,outer_suburb,28.13
Lowe's,b49f8f2d-b23c-492e-a7ca-36e5fc37adda,Loganville,Walton County,outer_suburb,28.24
Home Depot,d40c1ba9-38b6-40ed-98bb-9b5205b5dbb1,Canton,Cherokee County,outer_suburb,28.50
Home Depot,b3ebd9bc-4412-453a-8be2-7bdd890987ea,Newnan,Coweta County,outer_suburb,31.47
Home Depot,2f9f3ffb-9498-4f22-a3af-71ebbad225d6,Villa Rica,Carroll County,outer_suburb,31.88
Home Depot,d7faed01-01a8-4e35-a2a5-fcb0caaf6047,Buford,Gwinnett County,outer_suburb,32.36
Lowe's,8d7441a5-ff76-4597-9da3-5109058aca6f,Buford,Gwinnett County,outer_suburb,32.75
Home Depot,47be310e-5c40-4175-9add-d35c1e545301,Cumming,Forsyth County,outer_suburb,33.24
Lowe's,468f7889-9d71-4be0-a6b4-6cbf02b730b7,Cumming,Forsyth County,outer_suburb,33.36
Home Depot,3f09729c-1589-47fa-8575-774987eba1e1,Covington,Newton County,outer_suburb,33.64
Home Depot,51183b53-e735-4493-8be3-78bd54fcc085,Griffin,Spalding County,outer_suburb,34.99
Lowe's,368038c6-25e9-4cc6-8210-a66aa98aab3c,Griffin,Spalding County,outer_suburb,35.22
Home Depot,bde9ae59-3b64-4838-9615-5071c98653af,Dacula,Gwinnett County,outer_suburb,35.23
Home Depot,68581cee-1de8-495d-85d8-d620c8b4a295,Canton,Cherokee County,outer_suburb,35.25
Home Depot,2c33c593-2be1-4a9d-81a2-e9a52d341812,Monroe,Walton County,outer_suburb,37.10
Home Depot,e8749fcb-ef75-4a1e-ae55-28d776e05c81,Cartersville,Bartow County,outer_suburb,37.88
Home Depot,fb31a166-6687-4e56-b7de-e90bbfcbfad5,Bethlehem,Barrow County,outer_suburb,38.40
Home Depot,a4351741-c364-448f-be09-8ffddd3db70d,Carrollton,Carroll County,outer_suburb,41.61
Lowe's,e37c8915-a8b2-45ab-bfe4-90bac65013f8,Carrollton,Carroll County,outer_suburb,42.08
Home Depot,d0351204-3a77-4b7c-a183-311537acc40d,Dawsonville,Dawson County,exurb,46.44
Home Depot,935d37ee-7570-4092-91a6-eba34ea75b04,Jasper,Pickens County,exurb,49.87
Home Depot,fdfad406-b8ab-4a19-8a23-14ea485941c6,Dahlonega,Lumpkin County,exurb,55.44
