target_id,target_label,candidate_rows,distinct_candidates,complex_classes,class_list,candidate_names
bellevue-core,Bellevue core mall field,13,13,5,Mall; Marketplace; Retail Plaza; Retail Village; Shopping Center,Ashwood Plaza; BYB at Plaza Salon Bellevue; Bellevue Plaza Shopping Center; Bellevue Small Beach Park; Cafeteria at Microsoft City Center Plaza; CenturyLink Small Business; Gis Plaza; Mallory Harwood Hanley - Windermere Real Estate/East Inc.; Marketplace Cafe; Plaza East; Plaza Salon; Snowy Village Bellevue; Total Looks by Chantal Salon Boutique is located in the Plaza Salon
factoria,Bellevue Factoria field,6,6,3,Mall; Marketplace; Retail Village,Just Poke Factoria Mall; Norwood Village Park; Norwood Village Park Pickleball and Tennis Courts; The Marketplace at Factoria; The Marketplace at Factoria; The Tux Shop in Factoria Mall
southcenter-tukwila,Southcenter / Tukwila mall field,18,18,5,Mall; Marketplace; Retail Plaza; Retail Village; Shopping Center,Dr. Martens Southcenter Mall; Malli's House; Mallory Paint Store - Benjamin Moore; Marketplace Cafe; Mochinut - Westfield Southcenter Mall; Parkway Plaza; Parkway Square Shopping Center; Parkway Village; Riverview Plaza Leasing Office; Southcenter Mall; Southcenter Mall Parking Lot; Southcenter Mall Store; Southcenter Plaza; Southcenter Professional Plaza; The Mall; Value Village; WestCoast Boutique Southcenter MALL; رويال مول الدانا Royal Mall
tacoma-mall,Tacoma Mall field,14,14,4,Mall; Retail Plaza; Retail Village; Shopping Center,Best Buy Mobile Tacoma Mall; CoinFlip Bitcoin ATM - Tacoma Mall (Tacoma); Dental Village; Kaiser Permanente at Tacoma Mall Office Bldg; Lincoln Plaza Shopping Center; Mallory Paint Store; Michael's Plaza; SKECHERS Lincoln Plaza; Small Snell Weiss & Comfort PS; Tacoma Mall Massage Kiosk; Tacoma Mall Office Building; Tacoma Mall Plaza; Tacoma Mall Shopping Ctr; Tacoma Mall Store
kitsap-mall,Kitsap Mall / Silverdale field,6,6,3,Mall; Retail Plaza; Shopping Center,Cinnabon Kitsap Mall; KITSAP MALL; Kitsap Mall; Silverdale Plaza; Silverdale Shopping Center; The Fix Phone Tablet Computer Repair; Accessories Kitsap Mall
south-hill-puyallup,South Hill / Puyallup field,6,6,3,Mall; Retail Plaza; Retail Village,ATM O Bee Credit UnionPlaza; Cafaro SOUTH HILL MALL (PUYALLUP WA); Round1 Bowling & Arcade South Hill Mall; SOUTH HILL MALL; South Hill Mall TRANSIT Center; Village Cooperative of Puyallup
