field_id,label,anchor_field,qsr_rows,qsr_brands,qsr_brand_list,qsr_names,qsr_signal
downtown-koreatown-midwilshire,Downtown LA / Koreatown / Mid-Wilshire field,urban_core_mixed_service_field,19,4,Burger King; McDonald's; Taco Bell; Wendy's,Burger King; Burger King; Burger King; Burger King; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; Taco Bell; Taco Bell; Taco Bell; Wendy's,four_brand_dense_qsr_grid
glendale-burbank,Glendale / Burbank field,valley_media_retail_edge_field,15,3,Burger King; McDonald's; Taco Bell,Burger King; Burger King; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell,multi_brand_qsr_corridor
west-la-century-city-culver,West LA / Century City / Culver City field,affluent_office_retail_service_field,12,4,Burger King; McDonald's; Taco Bell; Wendy's,Burger King; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; Taco Bell; Taco Bell; Wendy's,four_brand_dense_qsr_grid
south-bay-torrance,South Bay / Torrance field,coastal_suburban_mall_auto_service_field,14,3,McDonald's; Taco Bell; Wendy's,McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Wendy's; Wendy's; Wendy's,multi_brand_qsr_corridor
ontario-rancho-cucamonga,Ontario Mills / Rancho Cucamonga field,inland_freeway_power_center_field,17,4,Burger King; McDonald's; Taco Bell; Wendy's,Burger King; Burger King; Burger King; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; Taco Bell; Taco Bell; Taco Bell; Wendy's; Wendy's; Wendy's; Wendy's,four_brand_dense_qsr_grid
riverside-tyler-corona,Riverside / Tyler / Corona edge field,inland_secondary_core_growth_field,27,4,Burger King; McDonald's; Taco Bell; Wendy's,Burger King; Burger King; Burger King; Burger King; Burger King; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Wendy's; Wendy's; Wendy's; Wendy's; Wendy's,four_brand_dense_qsr_grid
long-beach-lakewood,Long Beach / Lakewood field,port_coastal_grid_mall_service_field,38,4,Burger King; McDonald's; Taco Bell; Wendy's,Burger King; Burger King; Burger King; Burger King; Burger King; Burger King; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; McDonald's; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Taco Bell; Wendy's; Wendy's; Wendy's; Wendy's,four_brand_dense_qsr_grid
