field_id,label,anchor_field,raw_bank_credit_union_rows,bank_credit_union_rows,operator_count,address_incomplete_rows,atm_only_rows,bank_credit_union_names,bank_credit_union_signal,gate_reason
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,64,64,25,36,0,Abacus Federal Savings Bank; Allegiance Bank; Bank Credit Union; Bank Credit Union; Bank of America; Bank of America; Bank of America; Bank of America; Bank of America; Capital One; Chase; Chase; Chase; Chase; Citizens Bank; Citizens Bank; Citizens Bank; Citizens Bank; Citizens Bank; Citizens Bank; Citizens Bank; Citizens Bank; Citizens Bank; First Trust Bank; Fulton Bank; Fulton Bank; M&T Bank; MoreBank; PNC Bank; PNC Bank; PNC Bank; PNC Bank; PNC Bank; PNC Bank; PNC Bank; PNC Bank; Parke Bank; Police and Fire Federal Credit Union; Prudential Savings Bank; RBC; RBC; Republic Bank; Santander; Santander; Santander; Second Federal Savings & Loan; TD Bank; TD Bank; TD Bank; TD Bank; TD Bank; TD Bank; The Bank of Princeton; Truist; United Savings Bank; WSFS Bank; WSFS Bank; Wells Fargo; Wells Fargo; Wells Fargo; Wells Fargo; Wells Fargo; Wells Fargo; Wells Fargo,observed_dense,""
university-city-30th-street,University City / 30th Street field,eds_meds_rail_service_field,12,12,10,4,0,Bank of America; Chase; Citizens Bank; Franklin Mint Federal Credit Union; Fulton Bank  University City Branch; PNC Bank; PNC Bank; PennCU; Santander; TD Bank; Wells Fargo; Wells Fargo,observed,""
king-of-prussia,King of Prussia field,suburban_edge_city_superregional_mall_field,8,8,8,4,0,Ardent Credit Union; Bank of America; Capital One; Chase; Citizens Bank; Fidelity Investments; PNC Bank; WSFS Bank,observed,""
northeast-roosevelt,Northeast Philadelphia / Roosevelt Boulevard field,inner_suburban_auto_corridor_field,20,20,13,9,0,American Heritage Credit Union; American Heritage Credit Union; Bank Credit Union; Bank Credit Union; Beneficial Bank; Citizens Bank; Citizens Bank; Citizens Bank; Firstrust Bank; PNC Bank; Police and Fire Federal Credit Union; Republic Bank; Santander; TD Bank; TD Bank; TD Bank; Tompkins Community Bank; Truist; Wells Fargo; Wells Fargo,observed_dense,""
conshohocken-plymouth-meeting,Conshohocken / Plymouth Meeting field,river_office_suburban_edge_field,16,16,13,1,0,Bank of America; Bank of America; Citizens Bank; Firstrust Bank; Fulton Bank; KeyBank; PNC Bank; Police & Fire Federal Credit Union; Santander; TD Bank; TruMark Financial Credit Union; Truist; WSFS Bank; Wells Fargo; Wells Fargo; Wells Fargo,observed,""
south-philly-sports-port,South Philadelphia Sports / Port field,event_port_auto_service_field,6,6,5,3,0,Bank of America; Beneficial Bank; Citizens Bank; TD Bank; Wells Fargo; Wells Fargo,observed,""
camden-waterfront,Camden Waterfront / Cooper field,older_industrial_river_civic_field,6,6,6,4,0,Bank of America; First Camden National Bank & Trust; PNC Bank; South Jersey Federal Credit Union; TD Bank; Wells Fargo,observed,""
cherry-hill-moorestown,Cherry Hill / Moorestown field,south_jersey_mall_edge_field,29,29,19,19,0,BB&T Bank; Bank Credit Union; Bank Credit Union; Bank Credit Union; Bank of America; Beneficial Bank; Campbell Federal Credit Union; Chase; Citizens Bank; Columbia Bank; Columbia Bank; Cornerstone Bank; Cornerstone Bank; Fulton Bank; Gelman Building; Haddon Savings Bank; M&T Bank; M&T Bank; Navy Federal Credit Union; OceanFirst Bank; PNC Bank; TD Bank; TD Bank; TD Bank; WSFS Bank; Wells Fargo; Wells Fargo; Wells Fargo; Wells Fargo,observed_dense,""
