review_status,rows
needs_review,10
packet_ready,1259

review_reason,rows
missing_required_field,10
primary_store_candidate,1259

total_stores,1259

brand,stores
Burger King,266
McDonald's,449
Taco Bell,255
Wendy's,289

city,state,leader,leader_stores,total_stores,status
Lovejoy,GA,McDonald's,1,1,dominant
Mableton,GA,Wendy's,3,6,contested
Macon,GA,McDonald's,9,28,contested
Madison,GA,Burger King,1,4,contested
Manchester,GA,McDonald's,1,1,dominant
Marietta,GA,McDonald's,11,33,contested
Martinez,GA,Burger King,1,1,dominant
McDonough,GA,McDonald's,5,15,contested
McRae-Helena,GA,McDonald's,1,1,dominant
Metter,GA,Burger King,1,2,contested
Midland,GA,McDonald's,1,2,contested
Midway,GA,Burger King,1,2,contested
Milledgeville,GA,McDonald's,2,5,contested
Millen,GA,McDonald's,1,1,dominant
Monroe,GA,Wendy's,2,5,contested
Montezuma,GA,McDonald's,1,1,dominant
Moody AFB,GA,Burger King,1,1,dominant
Morrow,GA,Wendy's,3,7,contested
Moultrie,GA,Burger King,1,4,contested
Nahunta,GA,Burger King,1,1,dominant
Nashville,GA,McDonald's,1,1,dominant
Newnan,GA,McDonald's,4,13,contested
Norcross,GA,McDonald's,4,11,contested
Oakwood,GA,Burger King,1,3,contested
Palmetto,GA,McDonald's,1,1,dominant
Peachtree City,GA,McDonald's,2,5,contested
Peachtree Corners,GA,Burger King,2,5,contested
Pembroke,GA,McDonald's,1,1,dominant
Perry,GA,McDonald's,2,7,contested
Pooler,GA,McDonald's,3,7,contested
Port Wentworth,GA,Burger King,1,4,contested
Powder Springs,GA,McDonald's,2,5,contested
Quitman,GA,Burger King,1,2,contested
Register,GA,Burger King,1,1,dominant
Reidsville,GA,McDonald's,1,1,dominant
Riceboro,GA,McDonald's,1,1,dominant
Richmond Hill,GA,McDonald's,3,7,contested
Rincon,GA,McDonald's,2,3,dominant
Ringgold,GA,McDonald's,2,5,contested
Riverdale,GA,McDonald's,2,5,contested
Robins AFB,GA,Burger King,1,1,dominant
Rockmart,GA,Burger King,1,2,contested
Rome,GA,McDonald's,3,9,contested
Roswell,GA,McDonald's,4,8,contested
Royston,GA,McDonald's,1,2,contested
Sandersville,GA,McDonald's,1,3,contested
Sandy Springs,GA,McDonald's,2,4,contested
Savannah,GA,McDonald's,13,34,contested
Senoia,GA,McDonald's,1,1,dominant
Sharpsburg,GA,Taco Bell,1,2,contested
Smyrna,GA,Burger King,3,11,contested
Snellville,GA,McDonald's,3,9,contested
South Fulton,GA,McDonald's,2,3,dominant
Springfield,GA,Taco Bell,1,2,contested
St Marys,GA,Wendy's,1,1,dominant
St Simons Island,GA,Burger King,1,2,contested
Statesboro,GA,McDonald's,2,6,contested
