category,geography_id,geography_type,label,enclave_type,primary_brand,total_stores,brand_count,leader_share,nearest_opposite_brand_miles,evidence_summary
auto_parts,non_cbsa,region,Non-CBSA Washington county,service_mesh,NAPA Auto Parts,25,2,0.960,0.94,25 stores across 2 brands with leader share 0.960
auto_parts,10140,cbsa,Aberdeen WA,service_mesh,NAPA Auto Parts,9,3,0.667,0.71,9 stores across 3 brands with leader share 0.667
auto_parts,13380,cbsa,Bellingham WA,service_mesh,O'Reilly Auto Parts,18,3,0.500,0.04,18 stores across 3 brands with leader share 0.500
auto_parts,14740,cbsa,Bremerton-Silverdale-Port Orchard WA,brand_led_service_mesh,NAPA Auto Parts,17,3,0.529,0.06,17 stores across 3 brands with leader share 0.529
auto_parts,16500,cbsa,Centralia WA,brand_led_service_mesh,NAPA Auto Parts,13,3,0.692,0.24,13 stores across 3 brands with leader share 0.692
auto_parts,21260,cbsa,Ellensburg WA,anchor_market,NAPA Auto Parts,5,4,0.400,0.03,5 stores across 4 brands with leader share 0.400
auto_parts,28420,cbsa,Kennewick-Richland WA,contested_service_grid,NAPA Auto Parts,27,4,0.333,0.14,27 stores across 4 brands with leader share 0.333
auto_parts,30300,cbsa,Lewiston ID-WA,anchor_market,NAPA Auto Parts,4,3,0.500,0.15,4 stores across 3 brands with leader share 0.500
auto_parts,31020,cbsa,Longview-Kelso WA,service_mesh,NAPA Auto Parts,10,4,0.400,0.09,10 stores across 4 brands with leader share 0.400
auto_parts,34180,cbsa,Moses Lake WA,brand_led_service_mesh,NAPA Auto Parts,14,3,0.571,0.03,14 stores across 3 brands with leader share 0.571
auto_parts,34580,cbsa,Mount Vernon-Anacortes WA,brand_led_service_mesh,NAPA Auto Parts,15,3,0.533,0.09,15 stores across 3 brands with leader share 0.533
auto_parts,36020,cbsa,Oak Harbor WA,anchor_market,NAPA Auto Parts,5,3,0.600,0.05,5 stores across 3 brands with leader share 0.600
auto_parts,36500,cbsa,Olympia-Lacey-Tumwater WA,contested_service_grid,O'Reilly Auto Parts,20,4,0.350,0.10,20 stores across 4 brands with leader share 0.350
auto_parts,36830,cbsa,Othello WA,anchor_market,NAPA Auto Parts,4,3,0.500,0.12,4 stores across 3 brands with leader share 0.500
auto_parts,38820,cbsa,Port Angeles WA,anchor_market,NAPA Auto Parts,5,3,0.400,0.08,5 stores across 3 brands with leader share 0.400
auto_parts,38900,cbsa,Portland-Vancouver-Hillsboro OR-WA,contested_service_grid,O'Reilly Auto Parts,24,4,0.333,0.07,24 stores across 4 brands with leader share 0.333
auto_parts,39040,cbsa,Port Townsend WA,anchor_market,NAPA Auto Parts,3,2,0.667,1.54,3 stores across 2 brands with leader share 0.667
auto_parts,39420,cbsa,Pullman WA,anchor_market,NAPA Auto Parts,3,2,0.667,0.29,3 stores across 2 brands with leader share 0.667
auto_parts,42660,cbsa,Seattle-Tacoma-Bellevue WA,contested_service_grid,O'Reilly Auto Parts,197,4,0.452,0.01,197 stores across 4 brands with leader share 0.452
auto_parts,43220,cbsa,Shelton WA,anchor_market,NAPA Auto Parts,5,2,0.600,0.91,5 stores across 2 brands with leader share 0.600
auto_parts,44060,cbsa,Spokane-Spokane Valley WA,contested_service_grid,O'Reilly Auto Parts,39,4,0.410,0.02,39 stores across 4 brands with leader share 0.410
auto_parts,47460,cbsa,Walla Walla WA,anchor_market,AutoZone,3,3,0.333,0.32,3 stores across 3 brands with leader share 0.333
auto_parts,48300,cbsa,Wenatchee-East Wenatchee WA,brand_led_service_mesh,NAPA Auto Parts,15,3,0.667,0.16,15 stores across 3 brands with leader share 0.667
auto_parts,49420,cbsa,Yakima WA,contested_service_grid,NAPA Auto Parts,27,4,0.370,0.04,27 stores across 4 brands with leader share 0.370
