dimension_group,source_status,dimensions,dimension_ids
civic_anchor,active_reviewed_civic_layer,1,post_office
civic_anchor,source_gate_pending,3,library; park; transit_center
everyday_anchor,active_reviewed_store_layer,1,pharmacy
everyday_anchor,source_gate_pending,6,bank_credit_union; dollar_store; gas_convenience; gym; hardware; laundromat
