region,field_id,label,anchor_field,tax_prep_rows,tax_prep_brands,tax_prep_brand_list,tax_prep_names,tax_prep_signal
washington,bellevue-core,Bellevue core mall field,eastside_urban_mall_field,2,1,H&R Block,H&R Block; H&R Block Tax Preparation Office,tax_prep_service_node
washington,factoria,Bellevue Factoria field,eastside_power_center_mall_edge,1,1,H&R Block,H&R Block,single_tax_prep_anchor
washington,kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,4,3,H&R Block; Jackson Hewitt; Liberty Tax,H&R Block; H&R Block; Jackson Hewitt Tax Service; Liberty Tax,multi_brand_tax_prep_service_grid
washington,south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,3,2,H&R Block; Jackson Hewitt,H&R Block; Jackson Hewitt Tax Service; Jackson Hewitt Tax Service,tax_prep_service_node
washington,southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,1,1,H&R Block,H&R Block,single_tax_prep_anchor
washington,tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,1,1,Liberty Tax,Liberty Tax,single_tax_prep_anchor
atlanta,buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,2,1,H&R Block,H&R Block; H&R Block,tax_prep_service_node
atlanta,camp-creek,Camp Creek field,airport_edge_power_center,1,1,H&R Block,H&R Block,single_tax_prep_anchor
atlanta,cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,1,1,H&R Block,H&R Block,single_tax_prep_anchor
atlanta,decatur-emory,Decatur / Emory field,inner_service_village,2,2,H&R Block; Jackson Hewitt,H&R Block; Jackson Hewitt Tax Service,tax_prep_service_node
atlanta,north-point-wide,North Point / Alpharetta widened field,edge_city_mall_field,2,1,H&R Block,H&R Block; H&R Block,tax_prep_service_node
atlanta,northlake,Northlake field,legacy_suburban_mall_node,1,1,H&R Block,H&R Block,single_tax_prep_anchor
atlanta,perimeter-wide,Perimeter widened field,edge_city_mall_field,2,1,H&R Block,H&R Block; H&R Block,tax_prep_service_node
chicago,ford-city-cicero,Midway / Ford City field,southwest_airport_edge_field,7,3,H&R Block; Jackson Hewitt; Liberty Tax,H&R Block; H&R Block; H&R Block Tax Preparation Office; Jackson Hewitt Tax Service; Jackson Hewitt Tax Service; Liberty Tax; Liberty Tax,multi_brand_tax_prep_service_grid
chicago,lincoln-park-lakeview,Lincoln Park / Lakeview field,inner_neighborhood_service_field,5,1,H&R Block,H&R Block; H&R Block; H&R Block; H&R Block; H&R Block,tax_prep_service_node
chicago,loop-river-north,Loop / River North field,urban_core_mixed_service_field,4,2,H&R Block; Jackson Hewitt,H&R Block; H&R Block; H&R Block; Jackson Hewitt Tax Service,multi_brand_tax_prep_service_grid
chicago,oakbrook-wide,Oakbrook widened field,west_suburban_edge_city_field,1,1,Jackson Hewitt,Jackson Hewitt Tax Service,single_tax_prep_anchor
chicago,old-orchard-skokie,Old Orchard / Skokie field,north_suburban_mall_field,0,0,"","",checked_absent
chicago,orland-square,Orland Square field,south_suburban_mall_field,1,1,Jackson Hewitt,Jackson Hewitt,single_tax_prep_anchor
