zcta_candidate,county_geoid,county_name,relationship_source,relationship_vintage
31322,13051,Chatham County,Census 2020 ZCTA5 County relationship file,2020
31326,13103,Effingham County,Census 2020 ZCTA5 County relationship file,2020
31404,13051,Chatham County,Census 2020 ZCTA5 County relationship file,2020
31419,13051,Chatham County,Census 2020 ZCTA5 County relationship file,2020
31501,13299,Ware County,Census 2020 ZCTA5 County relationship file,2020
31520,13127,Glynn County,Census 2020 ZCTA5 County relationship file,2020
31533,13069,Coffee County,Census 2020 ZCTA5 County relationship file,2020
31601,13185,Lowndes County,Census 2020 ZCTA5 County relationship file,2020
31707,13095,Dougherty County,Census 2020 ZCTA5 County relationship file,2020
31709,13261,Sumter County,Census 2020 ZCTA5 County relationship file,2020
31788,13071,Colquitt County,Census 2020 ZCTA5 County relationship file,2020
31792,13275,Thomas County,Census 2020 ZCTA5 County relationship file,2020
31909,13215,Muscogee County,Census 2020 ZCTA5 County relationship file,2020
39819,13087,Decatur County,Census 2020 ZCTA5 County relationship file,2020
