county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,csa_code,csa_title,central_outlying,metro_context_status,relationship_source,relationship_vintage
13201,Miller County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13205,Mitchell County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13207,Monroe County,31420,Macon-Bibb County GA,Metropolitan Statistical Area,356,Macon-Bibb County--Warner Robins GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13211,Morgan County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13213,Murray County,19140,Dalton GA,Metropolitan Statistical Area,174,Chattanooga-Cleveland-Dalton TN-GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13215,Muscogee County,17980,Columbus GA-AL,Metropolitan Statistical Area,194,Columbus-Auburn-Opelika GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13217,Newton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13219,Oconee County,12020,Athens-Clarke County GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13221,Oglethorpe County,12020,Athens-Clarke County GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13223,Paulding County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13225,Peach County,47580,Warner Robins GA,Metropolitan Statistical Area,356,Macon-Bibb County--Warner Robins GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13227,Pickens County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13229,Pierce County,48180,Waycross GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13231,Pike County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13233,Polk County,16340,Cedartown GA,Micropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13235,Pulaski County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13237,Putnam County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13241,Rabun County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13245,Richmond County,12260,Augusta-Richmond County GA-SC,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13247,Rockdale County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13251,Screven County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13253,Seminole County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13255,Spalding County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13257,Stephens County,45740,Toccoa GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13261,Sumter County,11140,Americus GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13267,Tattnall County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13271,Telfair County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13273,Terrell County,10500,Albany GA,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13275,Thomas County,45620,Thomasville GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13277,Tift County,45700,Tifton GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13279,Toombs County,47080,Vidalia GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13281,Towns County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13285,Troup County,29300,LaGrange GA-AL,Micropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13287,Turner County,45700,Tifton GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
