brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status
CVS Pharmacy,951b8b79-ddb4-4095-b9a5-b2b8388cfd15,CVS Pharmacy,600 Kings Hwy N,Cherry Hill,NJ,08034-1505,39.9248046875,-74.99981689453125,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,c127eec6-3003-4592-9bdc-837189c0ad10,CVS Beauty,183 US-206 S,Chester,NJ,07930,40.7806396484375,-74.69779205322266,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,a3b194dc-ce67-48fa-9d69-dfc104a6b803,Minute Clinic,241 Westfield Ave,Clark,NJ,07066-1547,40.621803283691406,-74.30494689941406,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,afcc0fd1-df6b-40b2-a846-24a4d2a53ffc,CVS Pharmacy,1646 Main Ave,Clifton,NJ,07011-2142,40.889339447021484,-74.15362548828125,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,0e7c7ff9-9314-46ae-a128-634728c7b0d6,CVS Pharmacy,515 Allwood Rd,Clifton,NJ,07012-2160,40.84161376953125,-74.15782165527344,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,90dad582-05c2-45ed-961d-0f29ca8c9413,CVS Pharmacy,635 Lexington Ave,Clifton,NJ,07011-1232,40.88267517089844,-74.13404083251953,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,fb509773-653e-4558-b725-d2b06966f92a,CVS Pharmacy,250 Closter Dock Rd,Closter,NJ,07624-2616,40.9719123840332,-73.961181640625,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,7b1f73bd-124c-4a0e-9ee9-51bec1bd32cc,CVS Pharmacy,80 Piermont Rd,Cresskill,NJ,07626-2121,40.940284729003906,-73.96199035644531,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,151fa51a-dbe6-45fc-8647-0ae60eac8148,CVS Pharmacy,3003 Route 130,Delran Twp,NJ,08075-2412,40.01190948486328,-74.9639892578125,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,e1e89db8-dce6-483e-b511-918573d65aac,CVS Beauty,4004 Route 130,Delran Twp,NJ,08075-2401,40.01296615600586,-74.95821380615234,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,8a4e7a37-5057-43d3-8d72-3a569562dc8b,CVS Pharmacy,276 E Main St,Denville,NJ,07834-2641,40.883697509765625,-74.47925567626953,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,d15d7fe2-35a0-4049-b7fa-072b3e434534,CVS Beauty,50 W Madison Ave,Dumont,NJ,07628-2358,40.93995666503906,-74.00570678710938,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,facd2363-bc34-4bb6-9f77-4ae832cdc2f0,CVS Pharmacy,330 Rues Ln,East Brunswick,NJ,08816-3608,40.41773986816406,-74.41146850585938,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,21708bd8-06f7-422f-8c93-29038476658f,CVS Pharmacy,377 Summerhill Rd,East Brunswick,NJ,08816-4537,40.407833099365234,-74.38783264160156,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,47ae1b2d-1a79-4dd9-bc53-297d9fe5af9a,CVS Pharmacy,380 State Route 18,East Brunswick,NJ,08816-2114,40.45029067993164,-74.39679718017578,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,1e03af5c-1890-4ed8-90d4-f57f98fe8c2c,CVS Beauty,130 State Route 10,East Hanover,NJ,07936-2122,40.813262939453125,-74.380615234375,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,9f8ee2d0-ae28-4884-9a2e-b0a3ad0478d2,Minute Clinic,451 Ridgedale Ave,East Hanover,NJ,07936-1437,40.826759338378906,-74.35822296142578,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,ca97e1d7-d39d-483a-b78a-697420208f81,CVS Pharmacy,451 Ridgedale Ave,East Hanover,NJ,07936-1437,40.826759338378906,-74.35822296142578,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,055d0d28-9417-4de4-9693-fe3f1eeaa8c1,CVS Pharmacy,572 Paterson Ave,East Rutherford,NJ,07073-1106,40.842384338378906,-74.10591125488281,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,19cb55db-0caa-4504-ab9e-da16a491047d,CVS Pharmacy,629 Abbington Dr,East Windsor Twp,NJ,08520-5401,40.26625442504883,-74.49011993408203,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,cf6d8f3e-5133-41d7-9dac-61dc0cb7df99,CVS Pharmacy,1300 Woodlane Rd,Eastampton Twp,NJ,08060-9628,40.00479507446289,-74.76477813720703,Overture Places 2026-07-22.0,2026-07-22,open
