brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
Retail Center,f02d3b33-6e33-4a0b-acd1-1c6bb18c7f57,Oak Brook Laser Center,2425 W 22nd St,Oak Brook,IL,60523-1221,41.845375061035156,-87.97809600830078,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,c6149492-53eb-4e2a-bbfc-ea407ac4af5a,Oak Brook Tennis Center,1300 Forest Gate Rd,Oak Brook,IL,60523,41.83732986450195,-87.95143127441406,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,59d17054-33f6-455e-afc2-a74662e93ad1,Oakbrook Center,100 Oakbrook Ctr,Oak Brook,IL,60523-1838,41.8494987487793,-87.95338439941406,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Retail Center,4110a9a6-da26-49a8-9044-b79a6e3341cf,Oakbrook Center,58 Oakbrook Ctr,Oak Brook,IL,60523-1810,41.85036087036133,-87.9535140991211,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,ed36da5e-73ab-467b-b889-7987da7c196f,Pace Suburban Bus Stop - Oak Brook Center,Oak Brook Center,Oak Brook,IL,60523,41.84880065917969,-87.95497131347656,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,ddd20545-85e9-4e14-9907-6d0c34b0a33b,RH Oak Brook | The Gallery at the Oak Brook Center,1300 22nd St,Oak Brook,IL,60523,41.847412109375,-87.95059967041016,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,68110b3b-f30a-406f-aa58-2702a831ed2b,Rhone - Oakbrook Center,410 Oakbrook Ctr  Spc 410,Oak Brook,IL,60523-9007,41.83420944213867,-87.92684936523438,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,a2a11708-c05c-4c8b-b6af-62e620b368c3,Rowan Oakbrook Center,440 Oakbrook Center,Oak Brook,IL,60523,41.851680755615234,-87.95211029052734,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,cef32b9b-0fbd-4625-9fd5-7eaf0bdc0760,Sears Auto Center,2 Oakbrook Center Mall,Oak Brook,IL,60523,41.851444244384766,-87.95376586914062,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,bb5c5248-79be-4587-807b-59db6e530a18,Spa Nordstrom - Oakbrook Center,10 Oakbrook Ctr,Oak Brook,IL,60523,41.85285186767578,-87.9504623413086,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,438f3e9d-2559-490c-a84f-b60b04b9135f,Tcby Oakbrook Center,100 Oakbrook Ctr # 30,Oak Brook,IL,60523-1838,41.849998474121094,-87.9568099975586,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,45cb5c63-bc12-44f5-a888-29022129e883,US Signal Oak Brook Data Center,810 Jorie Blvd,Oak Brook,IL,60523,41.84623718261719,-87.9389877319336,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail District,21d47c09-940a-4f14-94a0-ccfc14c1512f,Oak Brook Park District Recreation Center,1450 Forest Gate Rd,Oak Brook,IL,60523-2159,41.83556365966797,-87.95391845703125,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail District,9fc86ca5-9527-4d1d-88c6-4b5933afac22,Splash Island Outdoor Pool - Oak Brook Park District,1480 Forest Gate Rd,Oak Brook,IL,60523,41.83563232421875,-87.95527648925781,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail District,d60eb7c6-f446-444a-83fe-fc3e019a080a,The District at Oakbrook Center,533 Oakbrook Center,Oak Brook,IL,60523,41.851470947265625,-87.95210266113281,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Retail Village,71268bcf-b390-48bb-998b-af49545f8bb7,Oak Brook Village Hall,1200 Oak Brook Rd,Oak Brook,IL,60523-2203,41.83314895629883,-87.94669342041016,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Village,720efbb6-80c5-4d00-8941-ea954cf01ac1,Oak Brook Village Police Department,1200 Oak Brook Rd,Oak Brook,IL,60523-2203,41.83327102661133,-87.94722747802734,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Village,947a6b26-2045-4535-a907-6b06ec25fb14,Village of Oak Brook Fire Department,1200 Oak Brook Rd,Oak Brook,IL,60523-2203,41.83325958251953,-87.9471435546875,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Village,c35146eb-a0e1-476c-8835-9d477948da8e,Village of Oak Brook Village Hall,814 Commerce Dr,Oak Brook,IL,60523-8822,41.85150146484375,-87.94095611572266,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Shopping Center,c187f28b-6f55-4e63-bc8e-a1d8fac7f224,Oakbrook Shopping Center,240 Oakbrook Ctr.2,Oak Brook,IL,60523,41.8519172668457,-87.95594024658203,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Shopping Center,503bae4f-90da-4a57-b94f-323c0fabbfef,Oakbrook Shopping Center LensCrafters,280 Oakbrook Ctr 280,Oak Brook,IL,60523,41.84679412841797,-87.95751190185547,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Shopping Center,fff33500-5490-4f95-acac-dc6f1edf429c,shopping center,72 Oakbrook Ctr,Oak Brook,IL,60523,41.850704193115234,-87.9531478881836,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,bbcc2c25-f2d5-4392-b20c-ebaf9e90888e,Immersive Gamebox - Oakbrook Center Oakbrook,545 Oakbrook Center Unit 545,Oakbrook,IL,60523,41.85186004638672,-87.95191192626953,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,60cff48b-1508-4440-9a7e-0c5c575ad9e8,Vivian Malli The Office Space Guru,1 Oakbrook Ter,Oakbrook Terrace,IL,60181-4438,41.84657287597656,-87.98155975341797,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,b2aa65ff-6f65-4dc3-b13c-687e0921cd6e,Chicagoland Hearing Aid Centers - Oakbrook,18w140 Butterfield Rd  Ste 1500,Oakbrook Terrace,IL,60181-4854,41.84703063964844,-87.98417663574219,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,e164601b-662b-4136-a83d-a4c58af188ab,Loyola Ambulatory Surgery Center at Oakbrook Terrace,1S224 Summit Ave Ste 201,Oakbrook Terrace,IL,60181,41.85612869262695,-87.9728775024414,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
