target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_join_key,settlement_proxy_note
national-post-office-wv-addison-ce6230c810,Addison post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Addison,post_office_point_probe,,38.8511,38.9211,-82.1915,-82.1015,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357526773,Addison Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,unknown,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,No Census incorporated place or county subdivision match found.
national-post-office-wv-adrian-po-672cf91bb8,Adrian PO post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Adrian PO,post_office_point_probe,,38.8698,38.9398,-80.3207,-80.2307,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:3425802643,Adrian PO,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-advent-6703372d97,Advent post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Advent,post_office_point_probe,,38.5726,38.6426,-81.6098,-81.5198,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:356529749,Advent Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-alderson-733e4910f8,Alderson post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Alderson,post_office_point_probe,,37.6888,37.7588,-80.6889,-80.5989,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:13905001801,Alderson Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-alkol-af95b9cf0d,Alkol post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Alkol,post_office_point_probe,,38.1274,38.1974,-81.9708,-81.8808,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:356537135,Alkol Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-alum-bridge-cac27a2707,Alum Bridge post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Alum Bridge,post_office_point_probe,,39.0034,39.0734,-80.7029,-80.6129,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:356536117,Alum Bridge Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-alvy-528cc43221,Alvy post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Alvy,post_office_point_probe,,39.4104,39.4804,-80.7432,-80.6532,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:356535125,Alvy Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-ameagle-9cd071b90e,Ameagle post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Ameagle,post_office_point_probe,,37.9121,37.9821,-81.4612,-81.3712,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:356538069,Ameagle Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-amherstdale-326f3fc417,Amherstdale post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Amherstdale,post_office_point_probe,,37.7500,37.8200,-81.8562,-81.7662,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:356537953,Amherstdale Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wv-amma-f3d6d8e5e0,Amma post-office-centered national sample candidate,national_post_office_sample_candidate,WV,Amma,post_office_point_probe,,38.5398,38.6098,-81.3061,-81.2161,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:356536693,Amma Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,WV,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
