facility_id,facility_name,city,state,review_status,semantic_review_status,semantic_review_reason
osm:node:13805076313,FedEx Office,FedEx Office,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:597039927,FedEx Office,FedEx Office,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:8384716789,FedEx Office,FedEx Office,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:9982332934,FedEx Office,FedEx Office,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:way:230780109,FedEx Office,FedEx Office,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:12833034759,FedEx Office Print & Ship Center,FedEx Office Print & Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:5567729100,FedEx Print and Ship Center,FedEx Print and Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:10032755443,FedEx Ship Center,FedEx Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:10884105240,FedEx Ship Center,FedEx Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:10969982402,FedEx Ship Center,FedEx Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:13368481706,FedEx Ship Center,FedEx Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:13830869901,FedEx Ship Center,FedEx Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:358853393,Federal Station Anaheim Post Office,Federal Station Anaheim,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:483370365,Federal Station Anaheim Post Office,Federal Station Anaheim,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:1451219566,Fedex Print & Ship Center,Fedex Print & Ship Center,CA,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:358852047,Felicity Post Office,Felicity,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:12249749406,Figex,Figex,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:804781055,Fillmore Post Office,Fillmore,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:354578535,Firestone Station South Gate Post Office,Firestone Station South Gate,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:933101673,Fontana Post Office,Fontana,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:3382190656,Foothill Post & Ship,Foothill Post & Ship,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:248433548,Fort MacArthur Post Station,Fort MacArthur Post Station,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:13998446159,Fountain Valley Post Office,Fountain Valley,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:358852661,Fox Hills Station Culver City Post Office,Fox Hills Station Culver City,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:358826619,Foy Station Los Angeles Post Office,Foy Station Los Angeles,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:186412125,Fullerton Post Office,Fullerton,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:279948228,Fullerton Post Office,Fullerton,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:171252738,Garden Grove Post Office,Garden Grove,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:358827322,Gardena Post Office,Gardena,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:391088787,Gateway Station Culver City Post Office,Gateway Station Culver City,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:358828940,Genesta Station Encino Post Office,Genesta Station Encino,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:358826358,Glassell Station Los Angeles Post Office,Glassell Station Los Angeles,CA,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:358842886,Glen Avon Post Office,Glen Avon,CA,packet_ready,public_postal_anchor_label,public_post_office_label
