target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-sonora-e095478671,Sonora,laundromat,observed,2,Kathy's Miracle Cleaners; Sonora Wash and Dry,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-forestville-76b2d0fdbd,Forestville,laundromat,observed,1,Coin Laundry,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-soledad-2a4f7e829e,Soledad,laundromat,observed,1,Gabilan Wash and Dry,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro,laundromat,observed,5,Clean American Coin Laundromat; Launderworld; Organic Cleaners; Super Coin Op Laundry; Young's Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-big-pine-c6a6b457b7,Big Pine,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-postalannex-3d05afd908,PostalAnnex,laundromat,observed,33,547B; Aqua Cleaners; Bailey Wash N Fold Service; Baywash Laundry & Dry Cleaners; Blue Bird Cleaners; Charleston Cleaners; Cleaners; Coin Wash; Coin-Op Laundry; Courtesy Cleaners; El Camino Laundromat; FreshO Laundry; Gold Star Cleaners; Green & Fresh Cleaners; Green Cleaners; Green Sky Cleaners; Launderland; Laundromat; Los Altos Cleaners; Martha's Laundromat; Nature's Best Cleaners; Oasis Laundry; PK's Cleaners; Pal's Laundromat; Rengstorff Laundromat; Spotless Cleaners; The Wash Stop; Vogue Cleaners; WashFoundry; Washmix; Webtown Dry Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-pioneer-496558d781,Pioneer,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-crescent-mills-a3611132f6,Crescent Mills,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-san-joaquin-25318cc47c,San Joaquin,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-diablo-b33cebdca3,Diablo,laundromat,observed,5,Hesperian Cleaners Inc.; Made to Fit; Martinizing Dry Cleaning; Penguin Cleaners; Village Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-angwin-f00965e642,Angwin,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-copperopolis-299815fb9d,Copperopolis,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
