target_id,primary_city,settlement_size_proxy,minimum_stack_class,post_office_status,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,everyday_service_signal_count,everyday_service_signals,classification_note
national-post-office-wv-addison-ce6230c810,Addison,unknown,postal_everyday_service_minimum,observed,observed,observed,checked_absent,checked_absent,checked_absent,2,food_service; gas_convenience,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-adrian-po-672cf91bb8,Adrian PO,2500_to_9999,postal_everyday_service_minimum,observed,checked_absent,observed,checked_absent,checked_absent,checked_absent,1,gas_convenience,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-advent-6703372d97,Advent,2500_to_9999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-alderson-733e4910f8,Alderson,under_2500,postal_everyday_service_minimum,observed,observed,checked_absent,checked_absent,observed,checked_absent,2,food_service; hardware,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-alkol-af95b9cf0d,Alkol,2500_to_9999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-alum-bridge-cac27a2707,Alum Bridge,2500_to_9999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-alvy-528cc43221,Alvy,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-ameagle-9cd071b90e,Ameagle,10000_to_49999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-amherstdale-326f3fc417,Amherstdale,10000_to_49999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-amma-f3d6d8e5e0,Amma,2500_to_9999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-annamoriah-d4deb06470,Annamoriah,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wv-anthony-bd47863ac8,Anthony,10000_to_49999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
