target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:7579377991,Alphim’s Dry Cleaner,,,Aina Haina,HI,,21.2782125,-157.7888099,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:7704518935,Hakuyosha Clean Living,,,Aina Haina,HI,,21.2753620,-157.7860066,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:770825478,Big Island Dry Cleaners,,,Downtown Hilo,HI,,19.7073781,-155.0756622,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:7961385452,Downtown Laundry Express,,,Downtown Hilo,HI,,19.7215088,-155.0857166,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:770825476,Tyke’s Laudromat,,,Downtown Hilo,HI,,19.7075373,-155.0758806,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-eleele-decc48678b,Eleele post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:5541678476,Eleele Landromat,,,Eleele,HI,,21.9051465,-159.5856124,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:9576983470,,,,FedEx,HI,,21.2767460,-157.8130191,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:9725280724,,,,FedEx,HI,,21.2867451,-157.8332762,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4895133791,Hakuyosha Clean Living,,,FedEx,HI,,21.3195934,-157.8611860,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12554819904,Hakuyosha Dry Cleaners,,,FedEx,HI,,21.3003928,-157.8434886,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4226130089,Kapahulu Xpress Laundromat,,,FedEx,HI,,21.2787442,-157.8134190,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4480998355,Manoa Laundry,,,FedEx,HI,,21.3083923,-157.8110930,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4266832194,Nuuanu Laundry,,,FedEx,HI,,21.3170337,-157.8551580,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:6397359985,Waikiki Laundromat,,,FedEx,HI,,21.2760006,-157.8233806,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4571725489,iDo Laundry,,,FedEx,HI,,21.2780512,-157.8248970,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
