target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:144677155,City Mill,,,Aina Haina,HI,,21.2834581,-157.7125569,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:9976037317,Ace Hardware,,,Downtown Hilo,HI,,19.7057229,-155.0632209,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:303232009,Ace Hardware,,,Downtown Hilo,HI,,19.7185550,-155.0815302,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5460596723,HPM Building Supply,,,Downtown Hilo,HI,,19.7178241,-155.0647571,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:262144020,The Home Depot,,,Downtown Hilo,HI,,19.6982673,-155.0592537,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138027,C@C Cabinets Granite,,,FedEx,HI,,21.3189856,-157.8730027,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:480912061,City Mill,,,FedEx,HI,,21.2889331,-157.8099069,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:606174136,City Mill,,,FedEx,HI,,21.3144592,-157.8702847,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138028,Golden Cabinets and Stone,,,FedEx,HI,,21.3243156,-157.8746041,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:480912066,Kaimuki Ace Hardware,,,FedEx,HI,,21.2856283,-157.8037778,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:806665384,Lowe's,,,FedEx,HI,,21.3155223,-157.8729644,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
