target_id,primary_city,settlement_size_proxy,status,observed_count,observed_names,source,source_date,review_note
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print,2500_to_9999,observed,8,Allsup's; Hail Creek Travel Center; Maverik; Speedway; Supersave,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-abiquiu-1b3d172ca0,Abiquiu,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex,50000_plus,observed,23,Carl Mart; Chevron; Circle K; Curly's Quick Stop; Downtown Liquor and Food Mart; Four Winds Travel Center; Love's; Maverik; Shell; Speedway; Valero,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-academy-9db4ff3c07,Academy,50000_plus,observed,27,7-Eleven; Alquds Grocery; Casa Blanca market; Chevron; Circle K; Curly's Quick Stop; Eddie's Market; Maverik; Murphy USA; Speedway; Valero,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-alamogordo-9f67bfb127,Alamogordo,10000_to_49999,observed,10,Allsup's; Allsups; Allsup’s; Circle K; Giant; Murphy Express; Save-o-Mat; Speedway,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-albuquerque-180e428b1f,Albuquerque,50000_plus,observed,26,7-Eleven; Allsup's; Chevron; Circle K; Country Club Market; DK; Delek; Downtown Liquor and Food Mart; Four Winds Travel Center; Garfield Market; Love's; Maverik; Quick Stop; QuickTrack; Shell; Speedway; Texaco; Tri H,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-albuquerque-main-119c5a1e72,Albuquerque Main,50000_plus,observed,28,7-Eleven; Carl Mart; Chevron; Circle K; Country Club Market; DK; Delek; Downtown Liquor and Food Mart; Four Winds Travel Center; Garfield Market; Love's; Maverik; Quick Stop; QuickTrack; Shell; Souf M Food Stores; Speedway; Texaco; Tri H,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-alcalde-03e0de57d2,Alcalde,2500_to_9999,observed,1,La Tiendita Jerky Factory,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-algodones-9a77a84fb5,Algodones,50000_plus,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-alto-6a15c637ed,Alto,10000_to_49999,observed,2,Chisum; Eagle Creek Shell,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-amistad-85362cd08e,Amistad,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-animas-74cdba25e5,Animas,2500_to_9999,observed,1,Bootheel Grocery,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik gas_convenience sidecar; absence means no packet-ready named rows in target box, not complete local absence."
