target_id,primary_city,state,postal_code_hint,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_note,census_geography_level,census_geoid,census_name,census_population
national-post-office-mn-iverson-23fd0326ee,Iverson,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,2701765902,Twin Lakes township,2093
national-post-office-mn-harmony-6f58a446af,Harmony,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2727188,Harmony city,1043
national-post-office-mn-porter-67f45c7c9d,Porter,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2752144,Porter city,166
national-post-office-mn-heron-lake-96bbf7a835,Heron Lake,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2728700,Heron Lake city,602
national-post-office-mn-jackson-9a163870c4,Jackson,MN,,2500_to_9999,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2731562,Jackson city,3323
national-post-office-mn-new-ulm-55013a5407,New Ulm,MN,,10000_to_49999,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2746042,New Ulm city,14120
national-post-office-mn-courtland-fb88186654,Courtland,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2713582,Courtland city,734
national-post-office-mn-magnolia-0269ffd60c,Magnolia,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2739338,Magnolia city,196
national-post-office-mn-wawina-7b82e8b2c3,Wawina,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,2706168800,Wawina township,85
national-post-office-mn-orr-2b5957cb45,Orr,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2748634,Orr city,211
national-post-office-mn-naytahwaush-6612276cf7,Naytahwaush,MN,,under_2500,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,2708765929,Twin Lakes township,727
national-post-office-mn-chanhassen-7760ede94d,Chanhassen,MN,,10000_to_49999,Census 2020 PL Minnesota geography file mngeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,2710918,Chanhassen city,25947
