target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-tujunga-6a01a6e0d9,Tujunga,gas_convenience,observed,4,7-Eleven; Mobil Mart,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-irwindale-f2c2708bcd,Irwindale,gas_convenience,observed,20,7-Eleven; 76; Alta Dena; Circle K; Coles Market; Freeway Liquor; Knicks and Knacks; Louie's Liquor; M & I Liquor Store; Shell; Speedway; Vince's Liquor Store; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-hollydale-station-south-gate-74d65c41e8,Hollydale Station South Gate,gas_convenience,observed,33,7-Eleven; 76; Arco; Best Market; Chevron; Circle K; ExtraMile; Gloria's Country Butcher; Han's Market; Lynwood Dairy; Rocket; Speedway; Toad's Liquor; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-santa-ana-p-dc-eb0135816c,Santa Ana P&DC,gas_convenience,observed,23,7-Eleven; Berri Brothers; Circle K; ExtraMile; Food Mart; G&M Food Mart; ReCharge Market by Gelson's; Shell; Sinclair; Speedway; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-federal-station-anaheim-d17bb4039c,Federal Station Anaheim,gas_convenience,observed,104,3 Reyes; 7-Eleven; AMPM; Alpha Mart; Art; Blue Ribbon Corn Dog; California Churro Company; Campus Supply Module; Churros Fantasyland; Churros Frontierland; Churros Grizzly Peak; Churros Hollywood; Churros Hub; Churros New Orleans Square; Churros Paradise Park; Churros Small World; Churros Tomorrowland; Churros Town Square; Churros and Lemonade Bayou Country; Circle K; Clyde’s Hot Chicken; Diggity Dogs; Discount Tobacco; Disney Vacation Club Info Booth; Disney Vacation Club Info Kiosk; Disney Vacation Club Information; Disney Vacation Club Information Both; Euclid Ranch Market; ExtraMile; Fantasyland Merch Cart; Food Mart; Frontierland Pin Cart; Hookah's Tobacco; Hot Foods Hub; Hot Popcorn Limited; Jack Jack Cookie Num Nums; Kat Saka's Kettle; Kayla's Cake; Laod Bhang's Pin Traders; Las Brisas Mexican Food; Los Barrios Market; Magicland Market; Main Street Pin Cart; Masala Indian Groceries; Misha's Nutrition; New Orleans Candy Cart; Paradise Pier Sunglass Hut; Parasols Personalized; Pixie Hollow Costume Stand; Popcorn Fantasyland Theatre; Popcorn Frontierland; Popcorn Grizzly Peak; Popcorn Hub; Popcorn New Orleans Square; Popcorn Pixar Pier; Popcorn Small World; Popcorn Tomorrowland; Popcorn Toontown; Popcorn Town Square; Pretzel Frontierland; Pretzel Small World; Pretzels Tomorrowland; Resistance Supply; Rocket; Scenic Art; Señor Buzz Churros; Shawarma Palace; Shawarma Palace Too; Shell; Shell Shop; Ship To Shore Market Place; Sunglass Icon by Sunglass Hut; Terran Treats; Wetzel's Pretzels; Wholesale Nutrition Center; Willie's Churros; World Express; ampm; pump.eat.drink; small world Gifts & Sundries,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-vista-del-mar-station-san-clemente-cbc875bcc8,Vista Del Mar Station San Clemente,gas_convenience,observed,10,7-Eleven; Circle K; ExtraMile; Pier Market; Rocket; San Clemente Ranch Market; Shell,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-indio-california-49cce5103f,"Indio, California",gas_convenience,observed,11,7-Eleven; Circle K; ExtraMile; Shell; Sinclair; Victory Liquor; Y and M Market; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-plaza-station-orange-8f98e5dd32,Plaza Station Orange,gas_convenience,observed,29,7-Eleven; AMPM; Circle S Food Store; ExtraMile; Food Mart; La Espiga De Oro Panaderia Carniceria; Qwik Korner Market; Recharge by Gelson's; Shell; Shell Shop; Tienda El Quetzal Y Pupusas To Go; ampm; pump.eat.drink,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-cerritos-b95822128c,Cerritos,gas_convenience,observed,11,7-Eleven; ExtraMile; Popcorn Boardwalk; Popcorn Calico Mine; Pretzels Boardwalk; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-victory-center-station-north-hollywood-ac9c0c8c07,Victory Center Station North Hollywood,gas_convenience,observed,27,7 Eleven; 7-Eleven; Carnicería Don Juan; Dacha; Elite Market & Bakery; Encanto Cafetero; Glendale Crossing; Pasadena Marketplace; Shell; Wolfgang Puck Express; ampm; ninety eight cents G store,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-brea-9b0f8ac2e0,Brea,gas_convenience,observed,13,7-Eleven; Big 6 Mart; Chevron; Circle K; ExtraMile; Mobil; Rocket; The hat; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
