target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-tx-postal-service-2c5fb90ddb,Postal Service,hardware,observed,2,Lowe's; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-aquilla-d120437058,Aquilla,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-eustace-aa3e3793d7,Eustace,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-sharon-s-hallmark-6709796b0d,Sharon's/Hallmark,hardware,observed,1,The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON,hardware,observed,5,Adsco Line Products Inc; Power Tool Service & Supply; Showcase Custom Vinyl Windows And Doors; Southland Hardware; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-brady-78c2feb851,Brady,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-vidor-56f6f66a69,Vidor,hardware,observed,1,Ace Hardware,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-tennessee-colony-2be2ac6bfa,Tennessee Colony,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-mountain-home-040d568fdd,Mountain Home,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-astrodome-4e10ef4349,Astrodome,hardware,observed,3,Lowe's; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-dallas-lake-highlands-station-ddaa42f713,Dallas Lake Highlands Station,hardware,observed,2,Lowe's; Rooster Home and Hardware,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-el-campo-6f0d5231c3,El Campo,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
