target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:node/4332723389,Subway,Subway,9970 Ball Ground Highway,Ball Ground,GA,30107,34.3509271,-84.3790998,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:node/5226809232,Les Bon Temps Louisiana Kitchen,,248 Gilmer Ferry Road,Ball Ground,GA,30107,34.3385338,-84.3770356,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:node/5239778331,Ball Ground Burger Bus,,288 Gilmer Ferry Road,Ball Ground,GA,30107,34.3382723,-84.3764283,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:node/5741764927,Frankfurt Döner & Meats,,250 Gilmer Ferry Road,Ball Ground,GA,30107,34.3384980,-84.3769697,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/540108470,Jill's Bakery,,370 Gilmer Ferry Road,Ball Ground,GA,30107,34.3371843,-84.3742374,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/540108930,Two Brothers Barbeque,,1695 Old Canton Road,Ball Ground,GA,30107,34.3571871,-84.3767931,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/540229944,Chef Rosario's Italian Kitchen,,270 Gilmer Ferry Road,Ball Ground,GA,30107,34.3384791,-84.3768810,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/540276606,Lora Mae's,,420 Old Canton Road,,GA,,34.3396617,-84.3776512,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/761381992,McDonald's,McDonald's,3898 Cleveland Highway,Dalton,GA,30721,34.8938706,-84.9460673,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/761383980,Burger Den,,,,GA,,34.8958117,-84.9496607,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/761601632,Panda Express,Panda Express,,,GA,,34.8966875,-84.9483086,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/761601633,Luigis Pizza,,,,GA,,34.9003974,-84.9477273,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,food_service,osm:way/1046720456,Wendy's,Wendy's,3931 Cleveland Highway,Varnell,GA,30756,34.8974485,-84.9474600,OpenStreetMap API 0.6 map,2026-08-15,ODbL,open_with_attribution,packet_ready,primary_civic_facility_candidate
