target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,post_office,osm:way:540095997,Ball Ground Post Office,United States Postal Service,180 Valley Street,Ball Ground,GA,30107,34.3359125,-84.3770153,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,post_office,osm:way:832366138,United States Postal Service,,,Cohutta,GA,,34.9009765,-84.9734194,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,post_office,osm:node:358766108,Varnell Post Office,United States Postal Service,,Cohutta,GA,,34.9009108,-84.9743904,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
