target_id,primary_city,state,postal_code_hint,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_note,census_geography_level,census_geoid,census_name,census_population
national-post-office-ca-sonora-e095478671,Sonora,CA,,2500_to_9999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0672674,Sonora city,5003
national-post-office-ca-forestville-76b2d0fdbd,Forestville,CA,,10000_to_49999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0609792682,Russian River-Sonoma Coast CCD,22068
national-post-office-ca-soledad-2a4f7e829e,Soledad,CA,,10000_to_49999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0672520,Soledad city,24925
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0668084,San Leandro city,91008
national-post-office-ca-big-pine-c6a6b457b7,Big Pine,CA,,2500_to_9999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0602791390,Independence CCD,2606
national-post-office-ca-postalannex-3d05afd908,PostalAnnex,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0649670,Mountain View city,82376
national-post-office-ca-pioneer-496558d781,Pioneer,CA,,2500_to_9999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0600592470,Pine Grove-Silver Lake CCD,9939
national-post-office-ca-crescent-mills-a3611132f6,Crescent Mills,CA,,under_2500,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0606391170,Greenville CCD,2371
national-post-office-ca-san-joaquin-25318cc47c,San Joaquin,CA,,2500_to_9999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0667126,San Joaquin city,3701
national-post-office-ca-diablo-b33cebdca3,Diablo,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0601390440,Central Contra Costa CCD,507758
national-post-office-ca-angwin-f00965e642,Angwin,CA,,2500_to_9999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0605590070,Angwin CCD,4984
national-post-office-ca-copperopolis-299815fb9d,Copperopolis,CA,,10000_to_49999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0600990060,Angels City CCD,13197
