target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:517490892,Post Office,,,Bingen,WA,,45.7289214,-121.4813792,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:668356589,Post Office,,,Bingen,WA,,45.7158469,-121.4687352,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:348775356,United States Post Office,United States Postal Service,219 South River Avenue,Buckley,WA,98321,47.1616741,-122.0312542,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:1246199098,Cashmere Post Office,USPS,121 Elberta Avenue,Cashmere,WA,98815,47.5229706,-120.4680653,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cathlamet,Cathlamet minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:node:1975835082,Cathlamet Post Office,United States Postal Service,,Cathlamet,WA,,46.2022468,-123.384895,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clallam-bay,Clallam Bay minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:341935543,Clallam Bay Post Office,,,Clallam Bay,WA,,48.2485354,-124.2584332,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:198499365,United States Post Office,United States Postal Service,,Clinton,WA,,47.9792882,-122.3585406,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-colfax,Colfax minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:261967505,Colfax Post Office,,211 South Main Street,Colfax,WA,,46.8791333,-117.3645097,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:299893015,Connell Post Office,United States Postal Service,,Connell,WA,,46.6602358,-118.8608079,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:280940773,US Postal Office,United States Postal Service,202 South 2nd Street,Dayton,WA,99328,46.3192538,-117.9786079,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:402296278,Post Office,,,Eastsound,WA,98245,48.6970808,-122.9074792,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-eatonville,Eatonville minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:181216323,Eatonville Post Office,United States Postal Service,103 Center Street West,Eatonville,WA,98328,46.8671137,-122.2675532,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-forks,Forks minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:234462133,United States Post Office,United States Postal Service,61 South Spartan Avenue,Forks,WA,,47.9500767,-124.3840197,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-friday-harbor,Friday Harbor minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:node:7929148677,Post Office,United States Postal Service,,Friday Harbor,WA,,48.5363759,-123.016736,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-friday-harbor,Friday Harbor minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:node:2377522999,USPS,United States Postal Service,220 Blair Avenue,Friday Harbor,WA,98250,48.53428,-123.019586,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-kettle-falls,Kettle Falls minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:922758173,United States Post Office,United States Post Office,510 Meyers Street,Kettle Falls,WA,,48.6086327,-118.0565787,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-la-conner,La Conner minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:482046775,La Conner Post Office,United States Postal Service,125 South First Street,La Conner,WA,98257,48.3913284,-122.4961128,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-loon-lake,Loon Lake minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:881487961,Loon Lake Post Office,United States Postal Service,3992 Colville Road,Loon Lake,WA,99148,48.0630242,-117.6295894,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-lopez-island,Lopez Island minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:way:294908250,Post Office,United States Postal Service,,Lopez Island,WA,,48.527119,-122.9118246,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-mattawa,Mattawa minimum postal parish candidate,minimum_postal_parish_candidate,post_office,osm:node:14069130060,Post Office,,,Mattawa,WA,,46.7380918,-119.9060113,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
