target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:8205717354,,,,Aberdeen,SD,,45.4654054,-98.4844820,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:249666927,Arby's,,,Aberdeen,SD,,45.4595847,-98.4698278,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:250694200,Buffalo Wings & Rings,,,Aberdeen,SD,,45.4599297,-98.4525953,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:249487776,Burger King,,,Aberdeen,SD,,45.4586521,-98.4739727,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:563125865,Caribou Coffee,,,Aberdeen,SD,,45.4586375,-98.4789783,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:13463466700,Cuzco,,,Aberdeen,SD,,45.4594019,-98.4889395,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:614921049,DQ Grill & Chill,,,Aberdeen,SD,,45.4586959,-98.4527821,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:1211603469,Domino's,,,Aberdeen,SD,,45.4593816,-98.4884348,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9357853405,Dulces Hispanic Store,,,Aberdeen,SD,,45.4592450,-98.5043815,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:6431823247,Dunn Brothers Coffee,,,Aberdeen,SD,,45.4733082,-98.4578584,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:2560935541,International Kitchen,,,Aberdeen,SD,,45.4594290,-98.4620371,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
