facility_id,facility_name,city,state,review_status,semantic_review_status,semantic_review_reason
osm:way:599953331,New Albany Post Office,New Albany,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998050,Nitta Yuma Post Office,Nitta Yuma,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10879349972,North Carrollton Post Office,North Carrollton,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10879611364,Oakland Post Office,Oakland,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:6717377530,Oakvale Post Office,Oakvale,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:138678203,Ocean Springs Post Office,Ocean Springs,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10884332035,Okolona Post Office,Okolona,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357997965,Olive Branch Post Office,Olive Branch,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:5683279106,Pak Mail,Pak Mail,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:708596256,Paulding Post Office,Paulding,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998029,Pearl Post Office,Pearl,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:197733681,Perkinston Post Office,Perkinston,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357997973,Philadelphia Post Office,Philadelphia,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:11111478949,Phillip Post Office,Phillip,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998088,Picayune Post Office,Picayune,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1093946879,Pittsboro Post Office,Pittsboro,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10888907915,Plantersville Post Office,Plantersville,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998099,Pocahontas Post Office,Pocahontas,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998080,Poplarville Post Office,Poplarville,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998064,Porterville Post Office,Porterville,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1162453858,United States Postal Service,Postal Service,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:659288158,United States Postal Service,Postal Service,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:803747271,Prairie Mississippi Post Office,Prairie Mississippi,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998063,Prairie Point Post Office,Prairie Point,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998061,Preston Post Office,Preston,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:653578955,Purvis Post Office,Purvis,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357997989,Ridgeland Post Office,Ridgeland,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:164878830,Ridgeland Post Office,Ridgeland,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10894523655,Rienzi Post Office,Rienzi,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:142440723,Robinsonville Post Office,Robinsonville,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998006,Rose Hill Post Office,Rose Hill,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1158876595,Sallis Post Office,Sallis,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:13894031601,Saltillo Post Office,Saltillo,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:165558083,Saucier Post Office,Saucier,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:11111478944,Schlater Post Office,Schlater,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10879610816,Scobey Post Office,Scobey,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1131149024,Senatobia Post Office,Senatobia,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10888850223,Shannon Post Office,Shannon,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:3367140319,Shelby Post Office,Shelby,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:11047129354,Sledge Post Office,Sledge,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357997970,Southaven Post Office,Southaven,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1526780486,Southwest Post Office,Southwest,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:9923676539,Star USPS,Star,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:625900682,State Line Post Office,State Line,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:2659719955,Stoneville Post Office,Stoneville,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998008,Stringer Post Office,Stringer,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1161946608,Sturgis Post Office,Sturgis,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:886293505,Sumrall Post Office,Sumrall,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:5712297294,Taylor Post Office,Taylor,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1469594520,Tchula Post Office,Tchula,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998103,Terry Post Office,Terry,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10881697257,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:10888908169,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:11000996995,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:11494998577,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:11920183600,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:12180825897,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:12499237866,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:12980396757,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:5703540368,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:6330152686,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:6439441219,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:7098607180,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:7606880897,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:9900784324,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:way:633906895,The UPS Store,The UPS Store,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:node:10879610602,The UPS Store - Grenada,The UPS Store Grenada,MS,packet_ready,private_shipping_semantic_gate,private_shipping_facility_label
osm:way:1338469660,Thomas G. Abernethy Federal Building,Thomas G. Abernethy Federal Building,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10879610411,Tie Plant Post Office,Tie Plant,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:10879610900,Tillatoba Post Office,Tillatoba,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998083,Tinsley Post Office,Tinsley,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:13804687602,Tippo Post Office,Tippo,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1549474180,Tunica Post Office,Tunica,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:41889331,Tupelo Post Office,Tupelo,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:11047129073,Tutwiler Post Office,Tutwiler,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:357998051,Tylertown Post Office,Tylertown,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1105250759,Tylertown Post Office,Tylertown,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:4691613593,US Post Office,US,MS,packet_ready,generic_locality_semantic_gate,generic_or_missing_locality
osm:way:166047708,US Post Office,US,MS,packet_ready,generic_locality_semantic_gate,generic_or_missing_locality
osm:node:357998022,Union Church Post Office,Union Church,MS,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:8863834411,United States Post Office - University of Southern Mississippi,University of Southern Mississippi,MS,packet_ready,public_postal_anchor_label,public_post_office_label
