target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:3711614525,,,,Denali National Park,AK,,63.7312530,-148.9152662,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:275374656,Park Mart Store,,,Denali National Park,AK,,63.7460895,-148.8972021,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:3331281432,,,,Fairbanks Downtown Station,AK,,64.8258988,-147.7124833,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:3331281439,,,,Fairbanks Downtown Station,AK,,64.8373034,-147.7504955,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:3331281491,,,,Fairbanks Downtown Station,AK,,64.8257664,-147.7142053,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1460752354,,,,Fairbanks Downtown Station,AK,,64.8136382,-147.7095867,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:923168069,Circle K,,,Fairbanks Downtown Station,AK,,64.8594097,-147.6847384,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:8896929563,Garden Island Party Store,,,Fairbanks Downtown Station,AK,,64.8478074,-147.7220505,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:487231516,Sourdough Food Mart,,,Fairbanks Downtown Station,AK,,64.8526189,-147.7500085,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:550198319,Tesoro 2Go Mart,,,Fairbanks Downtown Station,AK,,64.8536295,-147.7151807,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ak-homer-c28298bbbd,Homer post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:5027706372,Power Stop,,,Homer,AK,,59.6426490,-151.5377417,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
