target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:7708219187,Ayutulense,,,Bingen,WA,,45.7145549,-121.465427,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:7708224685,Beneventis,,,Bingen,WA,,45.7150803,-121.467918,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:6114310441,Feast Market & Delicatessen,,151 East Jewett Boulevard,White Salmon,WA,98672,45.7273927,-121.4856439,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:9102479283,Hennis Kitchen and Bar,,120 East Jewett Boulevard,White Salmon,WA,98672,45.7278292,-121.4863365,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:way:403413320,Hindustani,,2680 Old Columbia River Drive,Hood River,OR,97031,45.7078514,-121.5024407,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,outside_target_state
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:7177781929,Kobe Sushi + Bar,,33 Nichols Parkway 190,Hood River,OR,97031,45.7112318,-121.5101045,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,outside_target_state
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:way:119417342,McDonald's,McDonald's,1049 East Marina Way,Hood River,OR,97031,45.7112164,-121.5001256,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,outside_target_state
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:6551672846,Nativ Cafe,,166 East Jewett Boulevard,White Salmon,WA,98672,45.7277384,-121.4858919,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:5840809853,Pioneer Pizza,,,Bingen,WA,,45.7276103,-121.4853218,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:4505859885,Riverside,,,Bingen,WA,,45.7119992,-121.4987067,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:node:13311263294,Taqueria El Rinconcito Express,,114 West Steuben Street,Bingen,WA,98605,45.7151875,-121.4671174,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:way:364219668,Big Burger & Teriyaki,,760 Main Street,Buckley,WA,98321,47.1631902,-122.0276248,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:way:753449780,Bootleggers Bar & Grill,,29285 State Route 410 East,Buckley,WA,98321,47.1584089,-122.0387561,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:way:364219677,Georgio's Italian Kitchen,,737 Main Street,Buckley,WA,98321,47.1627361,-122.0278914,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:way:753449777,Hacienda Mexican Restaurant,,29401 State Route 410 East,Buckley,WA,98321,47.1582535,-122.0367874,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,pizza_delivery,osm:way:1432702724,McDonald's,McDonald's,,Buckley,WA,,47.1574792,-122.0369414,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,non_target_pizza_delivery
