target_id,primary_city,settlement_size_proxy,food_service_status,candidate_rows,packet_ready_rows,excluded_rows,sample_names,review_note
national-post-office-ri-annex-finance-af912748c0,Annex Finance,50000_plus,observed,315,310,5,10 Rocks; 110 Grill; 12 Dumplings; AS220; Al Forno; Al Son de Mi Barrio; Aleppo Sweets; Amaryllis,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station,50000_plus,observed,102,102,0,Applebee's; Apponaug Brewery; Apponaug Village Creamery; Asian Dynasty; Athenian Deli & Restaurant; Axelrod's Fry Shack; BJ's; Baja's Fresh Grill,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-barrington-82bdad8fc9,Barrington,10000_to_49999,observed,18,18,0,Billy's; Blount Clam Shack; Bluewater Bar + Grill; Borealis Coffee Company; Cafe Water Street; Dune Brothers; Dunkin'; Lee's Chinese,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-block-island-ac7592fa0e,Block Island,under_2500,observed,14,14,0,Aldo's Italian Restaurant; Block Island Oyster Bar & Grille; Block Island Pizza Pie Co.; Kimberly's; Old Harbor View; Persephone’s; Rebecca's; Rebecca's on the Beach,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-bristol-350c233b54,Bristol,10000_to_49999,observed,20,19,1,Basil & Bunny; Beehive Cafe; Borealis Coffee Company; Brick Pizza Co.; Bristol Bagel Works; Bristol Oyster Bar; Bristol Sunset Cafe; DeWolf Tavern,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-broadway-346c2a36b6,Broadway,10000_to_49999,observed,112,110,2,12 Metre Cafe; 22 Bowen’s; Anthony’s Seafood; Antonio's; Antonio’s Pizza; Applebee's; Atlantic Beach Club; Baja's Fresh Grill,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-bryant-university-1c4c9cc6b0,Bryant University,10000_to_49999,observed,10,10,0,Blackie's; Dunkin'; Fresco; Parente's; Plant City; Salmonson Dining Hall; The Archway Cafe; The Exchange,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-central-falls-211329b45d,Central Falls,10000_to_49999,observed,61,60,1,10 Rocks; 579 Benefit Street; Antonio's; Avenue N; Bandidos Mexican Restaurant; Blue Fish Restaurant; Breakfast; Buford's Restaurant,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-centreville-57742e4232,Centreville,10000_to_49999,observed,117,117,0,AJ's; Aj's; Aloha Pizza; Applebee's; BJ's; Bean Barn; Bill's; Black Oak Kitchen and Drinks,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-chepachet-3035201489,Chepachet,2500_to_9999,observed,2,2,0,Dunkin'; Tavern on Main,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-clayville-f1ff22f00c,Clayville,10000_to_49999,checked_absent,0,0,0,,No named food_service rows found in Geofabrik OSM GeoPackage target box.
national-post-office-ri-coventry-6d6e6926c0,Coventry,10000_to_49999,observed,18,18,0,Bean Barn; Black Oak Kitchen and Drinks; Blackstone; Burger King; Coventry Cat Cafe; D'Angelo Grilled Sandwiches; Dunkin'; Filippou's Twisted Pizza,Named food_service rows from Geofabrik OSM GeoPackage within target box.
