target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1075638655,Ace Hardware,,,Airport,WY,,41.1673471,-104.8377003,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5631336716,Bloedorn Lumber,,,Airport,WY,,41.1589218,-104.8037139,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:236515264,Bomgaars,,,Airport,WY,,41.1620032,-104.8074579,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:232400894,Harbor Freight Tools,,,Airport,WY,,41.1612936,-104.7889747,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:231062990,Lowe's,,,Airport,WY,,41.1664963,-104.8034032,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:258701961,Menards,,,Airport,WY,,41.1579544,-104.7773445,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:86296760,The Home Depot,,,Airport,WY,,41.1240162,-104.8464242,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-alpine-bd2d53e915,Alpine post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:2295983996,Alpine Ace Hardware,,,Alpine,WY,,43.1628829,-111.0172957,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-alpine-bd2d53e915,Alpine post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:2295984003,Jenkins Building Supply,,,Alpine,WY,,43.1630655,-111.0201702,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-buffalo-main-46c786b9c1,Buffalo Main post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1297283378,Buffalo Ace Hardware,,,Buffalo Main,WY,,44.3534616,-106.6930272,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1075638655,Ace Hardware,,,Capitol Station,WY,,41.1673471,-104.8377003,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5631336716,Bloedorn Lumber,,,Capitol Station,WY,,41.1589218,-104.8037139,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:236515264,Bomgaars,,,Capitol Station,WY,,41.1620032,-104.8074579,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:232400894,Harbor Freight Tools,,,Capitol Station,WY,,41.1612936,-104.7889747,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:231062990,Lowe's,,,Capitol Station,WY,,41.1664963,-104.8034032,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:258701961,Menards,,,Capitol Station,WY,,41.1579544,-104.7773445,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:86296760,The Home Depot,,,Capitol Station,WY,,41.1240162,-104.8464242,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-wy-casper-2e4affc90a,Casper post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:61242006,The Home Depot,,,Casper,WY,,42.8491990,-106.2617428,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
