target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:357526773,Addison Post Office,,,Addison,WV,,38.8861430,-82.1465118,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:3425802643,Adrian PO,,,Adrian PO,WV,,38.9047625,-80.2756506,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356529749,Advent Post Office,,,Advent,WV,,38.6075919,-81.5648473,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:13905001801,Alderson Post Office,,,Alderson,WV,,37.7238283,-80.6439402,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356537135,Alkol Post Office,,,Alkol,WV,,38.1624109,-81.9258167,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356536117,Alum Bridge Post Office,,,Alum Bridge,WV,,39.0384244,-80.6578755,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356535125,Alvy Post Office,,,Alvy,WV,,39.4453601,-80.6981566,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356538069,Ameagle Post Office,,,Ameagle,WV,,37.9470535,-81.4162197,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356537953,Amherstdale Post Office,,,Amherstdale,WV,,37.7850117,-81.8111898,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356536693,Amma Post Office,,,Amma,WV,,38.5748464,-81.2610540,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1174487818,Annamoriah Post Office,,,Annamoriah,WV,,38.9402308,-81.2276315,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356529170,Anthony Post Office,,,Anthony,WV,,37.8951210,-80.3306285,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356530272,Apple Grove Post Office,,,Apple Grove,WV,,38.6525838,-82.1643112,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356530276,Arbuckle Post Office,,,Arbuckle,WV,,38.7161958,-81.9487484,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:899914707,Arnett Post Office,,,Arnett,WV,,37.8353553,-81.4295175,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356527941,Arthurdale Post Office,,,Arthurdale,WV,,39.4948080,-79.8156160,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1155953249,Artie Post Office,,,Artie,WV,,37.9330974,-81.3607354,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356529172,Asbury Post Office,,,Asbury,WV,,37.8201204,-80.5595233,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
wv-geofabrik-post-office-seed,WV Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:356537187,Ashford Post Office,,,Ashford,WV,,38.1792333,-81.7111313,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
