target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349581014,Ada Post Office,,,Ada,MN,,47.3002778,-96.5169444,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1192404087,Adams Post Office,,,Adams,MN,,43.5658727,-92.7190607,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349562722,Adrian Post Office,,,Adrian,MN,,43.6347172,-95.9334226,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349585184,Afton Post Office,,,Afton,MN,,44.9035889,-92.7827444,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:386976022,Akeley Post Office,,,Akeley,MN,,47.0040157,-94.7286149,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349577210,Albany Post Office,,,Albany,MN,,45.6298612,-94.5649632,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349563260,Albert Lea Post Office,,,Albert Lea,MN,,43.6491238,-93.3668766,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:690790728,Alberta Post Office,,,Alberta,MN,,45.5734979,-96.0479800,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:550964578,Albertville Post Office,,,Albertville,MN,,45.2372496,-93.6535182,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349578795,Alexandria Post Office,,,Alexandria,MN,,45.8861884,-95.3800876,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349578087,Almelund Post Office,,,Almelund,MN,,45.4911187,-92.7854902,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:4630331218,Alpha Post Office,,,Alpha,MN,,43.6383506,-94.8707733,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349565054,Altura Post Office,,,Altura,MN,,44.0707966,-91.9393245,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1110572525,Amboy Post Office,,,Amboy,MN,,43.8881780,-94.1565057,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
mn-geofabrik-post-office-seed,MN Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:349574992,Annandale Post Office,,,Annandale,MN,,45.2638910,-94.1245504,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
